score,metric_name
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
0.0,score
0.0,score
1.0,score
0.0,score
1.0,score
0.0,score
0.0,score
1.0,score
0.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
0.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
0.0,score
0.0,score
1.0,score
1.0,score
0.0,score
1.0,score
1.0,score
1.0,score
0.0,score
0.0,score
0.0,score
0.0,score
0.0,score
0.0,score
0.0,score
0.0,score
1.0,score
0.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
0.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
0.0,score
1.0,score
1.0,score
0.0,score
1.0,score
1.0,score
1.0,score
0.0,score
1.0,score
0.0,score
0.0,score
0.0,score
1.0,score
1.0,score
0.0,score
0.0,score
0.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
0.0,score
0.0,score
1.0,score
0.0,score
0.0,score
1.0,score
0.0,score
0.0,score
1.0,score
0.0,score
0.0,score
0.0,score
0.0,score
0.0,score
0.0,score
0.0,score
0.0,score
0.0,score
1.0,score
0.0,score
0.0,score
0.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
0.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
1.0,score
0.0,score
