score,metric_name
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
0.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
0.0,base_pass
0.0,plus_pass
0.0,base_pass
0.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
0.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
0.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
0.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
0.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
0.0,plus_pass
0.0,base_pass
0.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
0.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
0.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
0.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
1.0,base_pass
1.0,plus_pass
0.0,base_pass
0.0,plus_pass
1.0,base_pass
