score,metric_name
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
0.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
0.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
0.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
0.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
0.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
0.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
0.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
0.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
1.0,accuracy
