Rank,Model,Agentic Overall Acc,Web Search Summary,Web Search Base,Web Search No Snippet,Memory Summary,Memory KV,Memory Vector,Memory Recursive Summarization
1,Claude-Opus-4-5-20251101 (FC),79.13%,84.50%,84.00%,85.00%,73.76%,70.97%,72.90%,77.42%
2,Claude-Opus-4.6 (FC),72.10%,67.00%,67.00%,67.00%,77.20%,68.39%,83.23%,80.00%
3,o3-2025-04-16 (FC),62.16%,77.00%,79.00%,75.00%,47.31%,24.52%,44.52%,72.90%
4,GPT-5.2-2025-12-11 (FC),60.65%,75.50%,78.00%,73.00%,45.81%,33.55%,43.23%,60.65%
5,o4-mini-2025-04-16 (FC),54.85%,75.50%,75.00%,76.00%,34.19%,19.35%,24.52%,58.71%
6,Gemini-2.5-Flash (FC),50.15%,59.00%,59.00%,59.00%,41.29%,19.35%,50.32%,54.19%
7,Kimi K2.5 (FC),47.37%,30.00%,28.00%,32.00%,64.73%,56.77%,65.16%,72.26%
8,GPT-5.2-Codex (FC),38.97%,33.00%,34.00%,32.00%,44.95%,27.74%,38.06%,69.03%
9,Qwen3-235B-A22B-Instruct-2507 (FC),38.94%,54.00%,57.00%,51.00%,23.87%,7.10%,18.71%,45.81%
10,MiniMax-M2.5 (FC),37.24%,39.00%,37.00%,41.00%,35.48%,34.84%,34.84%,36.77%
11,GLM-4.7 (FC),33.17%,13.00%,11.00%,15.00%,53.33%,41.94%,62.58%,55.48%
12,NVIDIA Nemotron Nano 3 30B A3B (FC),27.17%,21.00%,17.00%,25.00%,33.33%,32.26%,28.39%,39.35%
13,MiniMax-M2.1 (FC),27.14%,36.00%,38.00%,34.00%,18.28%,18.71%,15.48%,20.65%
14,Qwen3-30B-A3B-Instruct-2507 (FC),20.07%,22.50%,21.00%,24.00%,17.63%,9.03%,9.03%,34.84%
15,Gemini 3 Flash Preview (FC),17.13%,0.50%,0.00%,1.00%,33.76%,6.45%,40.00%,54.84%
16,Qwen3-Coder-480B-A35B (FC),9.60%,0.50%,0.00%,1.00%,18.71%,2.58%,9.68%,43.87%
17,MiniMax-M2.1 (FC),0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
