Rank,Model,Live Overall Acc,AST Summary,Python Simple AST,Python Multiple AST,Python Parallel AST,Python Parallel Multiple AST,Irrelevance Detection,Relevance Detection
1,Qwen3-Coder-480B-A35B (FC),81.72%,81.72%,82.17%,81.96%,81.25%,66.67%,83.71%,75.00%
2,Gemini 3 Flash Preview (FC),80.83%,80.83%,82.95%,80.34%,87.50%,75.00%,54.07%,100.00%
3,NVIDIA Nemotron Nano 3 30B A3B (FC),80.83%,80.83%,85.66%,79.96%,81.25%,66.67%,82.58%,68.75%
4,GLM-4.7 (FC),80.31%,80.31%,89.53%,78.16%,81.25%,75.00%,84.28%,75.00%
5,Claude-Opus-4-5-20251101 (FC),79.79%,79.79%,86.43%,78.16%,87.50%,75.00%,83.60%,62.50%
6,Kimi K2.5 (FC),79.79%,79.79%,86.05%,78.35%,81.25%,75.00%,84.95%,68.75%
7,Claude-Opus-4.6 (FC),79.79%,79.79%,86.43%,78.16%,87.50%,75.00%,78.05%,68.75%
8,Qwen3-30B-A3B-Instruct-2507 (FC),77.94%,77.94%,83.33%,76.83%,68.75%,75.00%,75.23%,81.25%
9,MiniMax-M2.5 (FC),77.28%,77.28%,81.78%,76.64%,68.75%,62.50%,77.26%,93.75%
10,MiniMax-M2.1 (FC),74.02%,74.02%,77.91%,73.31%,75.00%,62.50%,81.67%,81.25%
11,MiniMax-M2.1 (FC),74.02%,74.02%,77.91%,73.31%,75.00%,62.50%,81.67%,81.25%
12,GPT-5.2-2025-12-11 (FC),70.39%,70.39%,71.71%,70.37%,68.75%,58.33%,78.85%,75.00%
13,Qwen3-235B-A22B-Instruct-2507 (FC),68.91%,68.91%,58.53%,71.60%,68.75%,62.50%,79.30%,87.50%
14,o3-2025-04-16 (FC),66.17%,66.17%,70.54%,67.62%,0.00%,0.00%,83.94%,81.25%
15,o4-mini-2025-04-16 (FC),66.10%,66.10%,69.38%,67.81%,0.00%,0.00%,81.56%,81.25%
16,GPT-5.2-Codex (FC),62.99%,62.99%,70.54%,61.54%,62.50%,45.83%,89.37%,68.75%
17,Gemini-2.5-Flash (FC),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
