Rank,Model,Non-Live Overall Acc,AST Summary,Simple AST,Python Simple AST,Java Simple AST,JavaScript Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Irrelevance Detection
1,Qwen3-Coder-480B-A35B (FC),88.65%,88.65%,80.08%,96.25%,66.00%,78.00%,94.50%,92.00%,88.00%,87.50%
2,Claude-Opus-4-5-20251101 (FC),88.58%,88.58%,76.83%,96.50%,60.00%,74.00%,95.50%,93.50%,88.50%,85.83%
3,Claude-Opus-4.6 (FC),88.27%,88.27%,78.58%,95.75%,62.00%,78.00%,94.00%,92.00%,88.50%,77.50%
4,Kimi K2.5 (FC),87.98%,87.98%,71.42%,96.25%,60.00%,58.00%,93.50%,94.50%,92.50%,85.83%
5,GLM-4.7 (FC),87.00%,87.00%,72.00%,94.00%,60.00%,62.00%,95.00%,93.00%,88.00%,86.25%
6,Qwen3-30B-A3B-Instruct-2507 (FC),85.77%,85.77%,68.58%,94.75%,61.00%,50.00%,94.50%,91.50%,88.50%,84.58%
7,MiniMax-M2.1 (FC),85.23%,85.23%,70.42%,91.25%,58.00%,62.00%,93.50%,89.50%,87.50%,77.92%
8,MiniMax-M2.1 (FC),85.23%,85.23%,70.42%,91.25%,58.00%,62.00%,93.50%,89.50%,87.50%,77.92%
9,Gemini 3 Flash Preview (FC),84.35%,84.35%,70.42%,91.25%,52.00%,68.00%,94.00%,88.00%,85.00%,60.00%
10,NVIDIA Nemotron Nano 3 30B A3B (FC),84.02%,84.02%,67.08%,96.25%,51.00%,54.00%,93.00%,87.00%,89.00%,85.00%
11,GPT-5.2-Codex (FC),82.75%,82.75%,73.50%,91.50%,63.00%,66.00%,91.00%,85.50%,81.00%,90.42%
12,GPT-5.2-2025-12-11 (FC),81.85%,81.85%,72.92%,92.75%,62.00%,64.00%,88.00%,89.00%,77.50%,80.00%
13,MiniMax-M2.5 (FC),75.31%,75.31%,70.75%,91.25%,57.00%,64.00%,90.00%,63.50%,77.00%,81.67%
14,o3-2025-04-16 (FC),40.38%,40.38%,74.50%,89.50%,62.00%,72.00%,87.00%,0.00%,0.00%,88.33%
15,o4-mini-2025-04-16 (FC),37.73%,37.73%,66.92%,86.75%,60.00%,54.00%,84.00%,0.00%,0.00%,86.25%
16,Qwen3-235B-A22B-Instruct-2507 (FC),37.40%,37.40%,40.58%,56.75%,3.00%,62.00%,36.50%,53.00%,19.50%,84.17%
17,Gemini-2.5-Flash (FC),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
