model,ins_id,param_id,length,format,ori,hit,num,correct,total_score
gpt-5.2,0,0,3,1.0,1.0,0.875,1.0,1.0,0.9821428571428571
gpt-5.2,0,1,3,1.0,1.0,0.875,0.5833333333333334,1.0,0.8630952380952381
gpt-5.2,0,2,3,1.0,1.0,0.875,1.0,1.0,0.9821428571428571
gpt-5.2,0,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,4,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,0,3,1.0,1.0,0.9166666666666666,1.0,1.0,0.9880952380952381
gpt-5.2,1,1,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,2,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,4,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,0,3,1.0,1.0,0.9166666666666666,1.0,1.0,0.9880952380952381
gpt-5.2,2,1,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,2,3,1.0,1.0,0.9166666666666666,1.0,1.0,0.9880952380952381
gpt-5.2,2,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,4,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,1,3,1.0,1.0,0.875,0.5833333333333334,1.0,0.8630952380952381
gpt-5.2,3,2,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,4,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,3,1.0,1.0,0.9166666666666666,1.0,1.0,0.9880952380952381
gpt-5.2,4,1,3,1.0,1.0,0.9375,1.0,1.0,0.9910714285714286
gpt-5.2,4,2,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,4,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,0,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,1,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,2,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,3,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,4,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,0,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,1,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,2,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,4,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,0,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,1,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,2,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,3,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,4,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,0,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,1,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,2,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,3,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,4,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,1,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,2,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,3,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,4,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,1,13,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,2,13,1.0,1.0,0.9375,1.0,0.75,0.9375
gpt-5.2,0,3,13,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-5.2,0,4,13,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,0,13,1.0,1.0,0.9166666666666666,1.0,1.0,0.9880952380952381
gpt-5.2,1,1,13,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,2,13,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,13,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,4,13,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,0,13,1.0,1.0,1.0,1.0,1.0,1.0
