idx,score,metric_name
0,68,edit_similarity
1,67,edit_similarity
2,43,edit_similarity
3,35,edit_similarity
4,87,edit_similarity
5,57,edit_similarity
6,73,edit_similarity
7,22,edit_similarity
8,49,edit_similarity
9,51,edit_similarity
10,85,edit_similarity
11,25,edit_similarity
12,67,edit_similarity
13,47,edit_similarity
14,41,edit_similarity
15,48,edit_similarity
16,19,edit_similarity
17,87,edit_similarity
18,21,edit_similarity
19,73,edit_similarity
20,46,edit_similarity
21,50,edit_similarity
22,23,edit_similarity
23,24,edit_similarity
24,49,edit_similarity
25,82,edit_similarity
26,80,edit_similarity
27,28,edit_similarity
28,23,edit_similarity
29,42,edit_similarity
30,61,edit_similarity
31,89,edit_similarity
32,18,edit_similarity
33,27,edit_similarity
34,90,edit_similarity
35,52,edit_similarity
36,46,edit_similarity
37,38,edit_similarity
38,79,edit_similarity
39,23,edit_similarity
40,61,edit_similarity
41,18,edit_similarity
42,82,edit_similarity
43,77,edit_similarity
44,32,edit_similarity
45,47,edit_similarity
46,28,edit_similarity
47,85,edit_similarity
48,38,edit_similarity
49,84,edit_similarity
50,91,edit_similarity
51,9,edit_similarity
52,62,edit_similarity
53,18,edit_similarity
54,82,edit_similarity
55,83,edit_similarity
56,29,edit_similarity
57,29,edit_similarity
58,30,edit_similarity
59,35,edit_similarity
60,58,edit_similarity
61,33,edit_similarity
62,60,edit_similarity
63,26,edit_similarity
64,92,edit_similarity
65,82,edit_similarity
66,33,edit_similarity
67,62,edit_similarity
68,95,edit_similarity
69,39,edit_similarity
70,88,edit_similarity
71,34,edit_similarity
72,24,edit_similarity
73,30,edit_similarity
74,92,edit_similarity
75,41,edit_similarity
76,23,edit_similarity
77,72,edit_similarity
78,18,edit_similarity
79,20,edit_similarity
80,24,edit_similarity
81,90,edit_similarity
82,93,edit_similarity
83,79,edit_similarity
84,28,edit_similarity
85,39,edit_similarity
86,40,edit_similarity
87,46,edit_similarity
88,8,edit_similarity
89,86,edit_similarity
90,85,edit_similarity
91,22,edit_similarity
92,67,edit_similarity
93,38,edit_similarity
94,65,edit_similarity
95,27,edit_similarity
96,11,edit_similarity
97,39,edit_similarity
98,52,edit_similarity
99,94,edit_similarity
100,96,edit_similarity
101,70,edit_similarity
102,39,edit_similarity
103,81,edit_similarity
104,79,edit_similarity
105,72,edit_similarity
106,34,edit_similarity
107,47,edit_similarity
108,35,edit_similarity
109,85,edit_similarity
110,57,edit_similarity
111,44,edit_similarity
112,87,edit_similarity
113,56,edit_similarity
114,62,edit_similarity
115,13,edit_similarity
116,33,edit_similarity
117,75,edit_similarity
118,32,edit_similarity
119,85,edit_similarity
120,38,edit_similarity
121,29,edit_similarity
122,92,edit_similarity
123,21,edit_similarity
124,51,edit_similarity
125,67,edit_similarity
126,67,edit_similarity
127,70,edit_similarity
128,58,edit_similarity
129,64,edit_similarity
130,13,edit_similarity
131,43,edit_similarity
132,0,edit_similarity
133,23,edit_similarity
134,92,edit_similarity
135,85,edit_similarity
136,89,edit_similarity
137,34,edit_similarity
138,84,edit_similarity
139,24,edit_similarity
140,92,edit_similarity
141,64,edit_similarity
142,89,edit_similarity
143,35,edit_similarity
144,37,edit_similarity
145,88,edit_similarity
146,46,edit_similarity
147,18,edit_similarity
148,27,edit_similarity
149,71,edit_similarity
150,31,edit_similarity
151,30,edit_similarity
152,14,edit_similarity
153,43,edit_similarity
154,47,edit_similarity
155,21,edit_similarity
156,18,edit_similarity
157,46,edit_similarity
158,34,edit_similarity
159,0,edit_similarity
160,82,edit_similarity
161,89,edit_similarity
162,77,edit_similarity
163,47,edit_similarity
164,83,edit_similarity
165,94,edit_similarity
166,86,edit_similarity
167,11,edit_similarity
168,77,edit_similarity
169,15,edit_similarity
170,22,edit_similarity
171,20,edit_similarity
172,81,edit_similarity
173,21,edit_similarity
174,19,edit_similarity
175,23,edit_similarity
176,67,edit_similarity
177,45,edit_similarity
178,30,edit_similarity
179,48,edit_similarity
180,27,edit_similarity
181,62,edit_similarity
182,92,edit_similarity
183,15,edit_similarity
184,39,edit_similarity
185,25,edit_similarity
186,56,edit_similarity
187,20,edit_similarity
188,100,edit_similarity
189,33,edit_similarity
190,38,edit_similarity
191,25,edit_similarity
192,50,edit_similarity
193,28,edit_similarity
194,89,edit_similarity
195,92,edit_similarity
196,31,edit_similarity
197,80,edit_similarity
198,95,edit_similarity
