idx,score,metric_name
0,37,edit_similarity
1,30,edit_similarity
2,51,edit_similarity
3,84,edit_similarity
4,95,edit_similarity
5,14,edit_similarity
6,25,edit_similarity
7,90,edit_similarity
8,18,edit_similarity
9,80,edit_similarity
10,25,edit_similarity
11,90,edit_similarity
12,43,edit_similarity
13,35,edit_similarity
14,41,edit_similarity
15,31,edit_similarity
16,94,edit_similarity
17,84,edit_similarity
18,32,edit_similarity
19,86,edit_similarity
20,58,edit_similarity
21,38,edit_similarity
22,26,edit_similarity
23,23,edit_similarity
24,22,edit_similarity
25,38,edit_similarity
26,85,edit_similarity
27,39,edit_similarity
28,13,edit_similarity
29,39,edit_similarity
30,30,edit_similarity
31,24,edit_similarity
32,46,edit_similarity
33,28,edit_similarity
34,100,edit_similarity
35,51,edit_similarity
36,35,edit_similarity
37,34,edit_similarity
38,41,edit_similarity
39,90,edit_similarity
40,31,edit_similarity
41,27,edit_similarity
42,15,edit_similarity
43,76,edit_similarity
44,91,edit_similarity
45,37,edit_similarity
46,34,edit_similarity
47,27,edit_similarity
48,68,edit_similarity
49,30,edit_similarity
50,24,edit_similarity
51,22,edit_similarity
52,19,edit_similarity
53,37,edit_similarity
54,27,edit_similarity
55,40,edit_similarity
56,87,edit_similarity
57,96,edit_similarity
58,31,edit_similarity
59,28,edit_similarity
60,31,edit_similarity
61,85,edit_similarity
62,23,edit_similarity
63,75,edit_similarity
64,79,edit_similarity
65,97,edit_similarity
66,17,edit_similarity
67,33,edit_similarity
68,100,edit_similarity
69,90,edit_similarity
70,32,edit_similarity
71,48,edit_similarity
72,28,edit_similarity
73,22,edit_similarity
74,97,edit_similarity
75,77,edit_similarity
76,46,edit_similarity
77,44,edit_similarity
78,91,edit_similarity
79,89,edit_similarity
80,17,edit_similarity
81,94,edit_similarity
82,34,edit_similarity
83,26,edit_similarity
84,92,edit_similarity
85,94,edit_similarity
86,67,edit_similarity
87,32,edit_similarity
88,32,edit_similarity
89,24,edit_similarity
90,80,edit_similarity
91,86,edit_similarity
92,72,edit_similarity
93,81,edit_similarity
94,26,edit_similarity
95,33,edit_similarity
96,89,edit_similarity
97,91,edit_similarity
98,49,edit_similarity
99,20,edit_similarity
100,29,edit_similarity
101,89,edit_similarity
102,83,edit_similarity
103,95,edit_similarity
104,57,edit_similarity
105,90,edit_similarity
106,76,edit_similarity
107,22,edit_similarity
108,95,edit_similarity
109,79,edit_similarity
110,92,edit_similarity
111,31,edit_similarity
112,33,edit_similarity
113,36,edit_similarity
114,51,edit_similarity
115,95,edit_similarity
116,68,edit_similarity
117,87,edit_similarity
118,58,edit_similarity
119,38,edit_similarity
120,27,edit_similarity
121,95,edit_similarity
122,13,edit_similarity
123,90,edit_similarity
124,76,edit_similarity
125,12,edit_similarity
126,67,edit_similarity
127,49,edit_similarity
128,90,edit_similarity
129,46,edit_similarity
130,95,edit_similarity
131,29,edit_similarity
132,70,edit_similarity
133,89,edit_similarity
134,82,edit_similarity
135,94,edit_similarity
136,55,edit_similarity
137,56,edit_similarity
138,62,edit_similarity
139,65,edit_similarity
140,100,edit_similarity
141,65,edit_similarity
142,39,edit_similarity
143,80,edit_similarity
144,84,edit_similarity
145,78,edit_similarity
146,54,edit_similarity
147,69,edit_similarity
148,30,edit_similarity
149,49,edit_similarity
150,86,edit_similarity
151,61,edit_similarity
152,82,edit_similarity
153,90,edit_similarity
154,67,edit_similarity
155,30,edit_similarity
156,29,edit_similarity
157,51,edit_similarity
158,34,edit_similarity
159,42,edit_similarity
160,39,edit_similarity
161,86,edit_similarity
162,81,edit_similarity
163,92,edit_similarity
164,67,edit_similarity
165,75,edit_similarity
166,76,edit_similarity
167,22,edit_similarity
168,32,edit_similarity
169,89,edit_similarity
170,88,edit_similarity
171,31,edit_similarity
172,79,edit_similarity
173,32,edit_similarity
174,34,edit_similarity
175,86,edit_similarity
176,85,edit_similarity
177,45,edit_similarity
178,32,edit_similarity
179,89,edit_similarity
180,13,edit_similarity
181,87,edit_similarity
182,29,edit_similarity
183,60,edit_similarity
184,42,edit_similarity
185,82,edit_similarity
186,86,edit_similarity
187,27,edit_similarity
188,92,edit_similarity
189,82,edit_similarity
190,5,edit_similarity
191,97,edit_similarity
192,81,edit_similarity
193,72,edit_similarity
194,91,edit_similarity
195,31,edit_similarity
196,17,edit_similarity
197,95,edit_similarity
198,81,edit_similarity
199,95,edit_similarity
200,100,edit_similarity
201,82,edit_similarity
202,18,edit_similarity
203,40,edit_similarity
204,26,edit_similarity
205,33,edit_similarity
206,31,edit_similarity
207,89,edit_similarity
208,21,edit_similarity
209,96,edit_similarity
210,29,edit_similarity
211,21,edit_similarity
212,96,edit_similarity
213,95,edit_similarity
214,93,edit_similarity
215,64,edit_similarity
216,52,edit_similarity
217,90,edit_similarity
218,69,edit_similarity
219,36,edit_similarity
220,87,edit_similarity
221,30,edit_similarity
222,29,edit_similarity
223,91,edit_similarity
224,34,edit_similarity
225,44,edit_similarity
226,77,edit_similarity
227,35,edit_similarity
228,74,edit_similarity
229,57,edit_similarity
230,22,edit_similarity
231,31,edit_similarity
232,93,edit_similarity
233,91,edit_similarity
234,60,edit_similarity
235,37,edit_similarity
236,27,edit_similarity
237,77,edit_similarity
238,34,edit_similarity
239,53,edit_similarity
240,26,edit_similarity
241,90,edit_similarity
242,34,edit_similarity
243,16,edit_similarity
244,94,edit_similarity
245,28,edit_similarity
246,30,edit_similarity
247,35,edit_similarity
248,41,edit_similarity
249,94,edit_similarity
250,11,edit_similarity
251,62,edit_similarity
252,44,edit_similarity
253,66,edit_similarity
254,94,edit_similarity
255,46,edit_similarity
256,40,edit_similarity
257,27,edit_similarity
258,36,edit_similarity
259,17,edit_similarity
260,93,edit_similarity
261,22,edit_similarity
262,28,edit_similarity
263,26,edit_similarity
264,75,edit_similarity
265,23,edit_similarity
266,21,edit_similarity
267,89,edit_similarity
268,90,edit_similarity
269,92,edit_similarity
270,31,edit_similarity
271,72,edit_similarity
272,32,edit_similarity
273,76,edit_similarity
274,31,edit_similarity
275,56,edit_similarity
276,31,edit_similarity
277,70,edit_similarity
278,43,edit_similarity
279,85,edit_similarity
280,84,edit_similarity
281,94,edit_similarity
282,69,edit_similarity
283,27,edit_similarity
284,20,edit_similarity
285,32,edit_similarity
286,26,edit_similarity
287,58,edit_similarity
288,26,edit_similarity
289,33,edit_similarity
290,68,edit_similarity
291,88,edit_similarity
292,87,edit_similarity
293,23,edit_similarity
294,100,edit_similarity
295,89,edit_similarity
296,33,edit_similarity
297,83,edit_similarity
298,85,edit_similarity
299,83,edit_similarity
300,7,edit_similarity
301,25,edit_similarity
302,63,edit_similarity
303,67,edit_similarity
304,34,edit_similarity
305,87,edit_similarity
306,80,edit_similarity
307,41,edit_similarity
308,84,edit_similarity
309,32,edit_similarity
310,92,edit_similarity
311,93,edit_similarity
