idx,score,metric_name
0,8,edit_similarity
1,52,edit_similarity
2,22,edit_similarity
3,92,edit_similarity
4,28,edit_similarity
5,6,edit_similarity
6,13,edit_similarity
7,62,edit_similarity
8,7,edit_similarity
9,15,edit_similarity
10,19,edit_similarity
11,84,edit_similarity
12,37,edit_similarity
13,22,edit_similarity
14,45,edit_similarity
15,19,edit_similarity
16,38,edit_similarity
17,56,edit_similarity
18,25,edit_similarity
19,15,edit_similarity
20,59,edit_similarity
21,36,edit_similarity
22,68,edit_similarity
23,46,edit_similarity
24,8,edit_similarity
25,48,edit_similarity
26,17,edit_similarity
27,34,edit_similarity
28,13,edit_similarity
29,79,edit_similarity
30,12,edit_similarity
31,9,edit_similarity
32,46,edit_similarity
33,100,edit_similarity
34,68,edit_similarity
35,30,edit_similarity
36,21,edit_similarity
37,86,edit_similarity
38,52,edit_similarity
39,39,edit_similarity
40,57,edit_similarity
41,22,edit_similarity
42,8,edit_similarity
43,24,edit_similarity
44,52,edit_similarity
45,17,edit_similarity
46,24,edit_similarity
47,41,edit_similarity
48,38,edit_similarity
49,37,edit_similarity
50,38,edit_similarity
51,36,edit_similarity
52,6,edit_similarity
53,99,edit_similarity
54,70,edit_similarity
55,25,edit_similarity
56,14,edit_similarity
57,5,edit_similarity
58,38,edit_similarity
59,18,edit_similarity
60,31,edit_similarity
61,17,edit_similarity
62,42,edit_similarity
63,41,edit_similarity
64,49,edit_similarity
65,22,edit_similarity
66,90,edit_similarity
67,51,edit_similarity
68,18,edit_similarity
69,0,edit_similarity
70,8,edit_similarity
71,15,edit_similarity
72,7,edit_similarity
73,41,edit_similarity
74,48,edit_similarity
75,35,edit_similarity
76,36,edit_similarity
77,21,edit_similarity
78,20,edit_similarity
79,32,edit_similarity
80,80,edit_similarity
81,23,edit_similarity
82,28,edit_similarity
83,71,edit_similarity
84,27,edit_similarity
85,34,edit_similarity
86,51,edit_similarity
87,13,edit_similarity
88,30,edit_similarity
89,29,edit_similarity
90,33,edit_similarity
91,86,edit_similarity
92,51,edit_similarity
93,5,edit_similarity
94,30,edit_similarity
95,46,edit_similarity
96,59,edit_similarity
97,34,edit_similarity
98,5,edit_similarity
99,15,edit_similarity
100,18,edit_similarity
101,13,edit_similarity
102,30,edit_similarity
103,95,edit_similarity
104,13,edit_similarity
105,49,edit_similarity
106,36,edit_similarity
107,17,edit_similarity
108,58,edit_similarity
109,31,edit_similarity
110,46,edit_similarity
111,10,edit_similarity
112,28,edit_similarity
113,18,edit_similarity
114,17,edit_similarity
115,30,edit_similarity
116,11,edit_similarity
117,9,edit_similarity
118,14,edit_similarity
119,17,edit_similarity
120,18,edit_similarity
121,61,edit_similarity
122,3,edit_similarity
123,17,edit_similarity
124,39,edit_similarity
125,12,edit_similarity
126,7,edit_similarity
127,19,edit_similarity
128,90,edit_similarity
129,14,edit_similarity
130,43,edit_similarity
131,23,edit_similarity
132,63,edit_similarity
133,32,edit_similarity
134,82,edit_similarity
135,11,edit_similarity
136,59,edit_similarity
137,31,edit_similarity
138,37,edit_similarity
139,46,edit_similarity
140,81,edit_similarity
141,65,edit_similarity
142,40,edit_similarity
143,74,edit_similarity
144,32,edit_similarity
145,26,edit_similarity
146,19,edit_similarity
147,25,edit_similarity
148,24,edit_similarity
149,56,edit_similarity
150,31,edit_similarity
151,19,edit_similarity
152,92,edit_similarity
153,33,edit_similarity
154,19,edit_similarity
155,15,edit_similarity
156,29,edit_similarity
157,79,edit_similarity
158,59,edit_similarity
159,18,edit_similarity
160,34,edit_similarity
161,25,edit_similarity
162,30,edit_similarity
163,43,edit_similarity
164,22,edit_similarity
165,24,edit_similarity
166,83,edit_similarity
167,46,edit_similarity
168,27,edit_similarity
169,45,edit_similarity
170,14,edit_similarity
171,59,edit_similarity
172,31,edit_similarity
173,8,edit_similarity
174,78,edit_similarity
175,39,edit_similarity
176,85,edit_similarity
177,19,edit_similarity
178,67,edit_similarity
179,58,edit_similarity
180,0,edit_similarity
181,65,edit_similarity
182,87,edit_similarity
183,59,edit_similarity
184,7,edit_similarity
185,0,edit_similarity
186,24,edit_similarity
187,20,edit_similarity
188,39,edit_similarity
189,12,edit_similarity
190,4,edit_similarity
191,24,edit_similarity
192,63,edit_similarity
193,18,edit_similarity
194,31,edit_similarity
195,30,edit_similarity
196,16,edit_similarity
197,29,edit_similarity
198,9,edit_similarity
199,33,edit_similarity
200,47,edit_similarity
201,45,edit_similarity
202,36,edit_similarity
203,30,edit_similarity
204,16,edit_similarity
205,15,edit_similarity
206,19,edit_similarity
207,52,edit_similarity
208,21,edit_similarity
209,17,edit_similarity
210,55,edit_similarity
211,18,edit_similarity
212,16,edit_similarity
213,23,edit_similarity
214,12,edit_similarity
215,36,edit_similarity
216,51,edit_similarity
217,89,edit_similarity
218,49,edit_similarity
219,8,edit_similarity
220,55,edit_similarity
221,73,edit_similarity
222,61,edit_similarity
223,10,edit_similarity
224,15,edit_similarity
225,18,edit_similarity
226,93,edit_similarity
227,15,edit_similarity
228,36,edit_similarity
229,62,edit_similarity
230,48,edit_similarity
231,19,edit_similarity
232,93,edit_similarity
233,91,edit_similarity
234,69,edit_similarity
235,18,edit_similarity
236,38,edit_similarity
237,41,edit_similarity
238,0,edit_similarity
239,9,edit_similarity
240,62,edit_similarity
241,90,edit_similarity
242,65,edit_similarity
243,60,edit_similarity
244,86,edit_similarity
245,11,edit_similarity
246,31,edit_similarity
247,49,edit_similarity
248,21,edit_similarity
249,94,edit_similarity
250,22,edit_similarity
251,20,edit_similarity
252,33,edit_similarity
253,12,edit_similarity
254,5,edit_similarity
255,47,edit_similarity
256,25,edit_similarity
257,32,edit_similarity
258,33,edit_similarity
259,38,edit_similarity
260,67,edit_similarity
261,25,edit_similarity
262,36,edit_similarity
263,49,edit_similarity
264,46,edit_similarity
265,0,edit_similarity
266,31,edit_similarity
267,41,edit_similarity
268,67,edit_similarity
269,77,edit_similarity
270,31,edit_similarity
271,77,edit_similarity
272,31,edit_similarity
273,71,edit_similarity
274,6,edit_similarity
275,54,edit_similarity
276,45,edit_similarity
277,70,edit_similarity
278,33,edit_similarity
279,87,edit_similarity
280,24,edit_similarity
281,7,edit_similarity
282,0,edit_similarity
283,51,edit_similarity
284,17,edit_similarity
285,50,edit_similarity
286,42,edit_similarity
287,33,edit_similarity
288,23,edit_similarity
289,8,edit_similarity
290,35,edit_similarity
291,28,edit_similarity
292,72,edit_similarity
293,23,edit_similarity
294,57,edit_similarity
295,4,edit_similarity
296,59,edit_similarity
297,40,edit_similarity
298,33,edit_similarity
299,8,edit_similarity
300,36,edit_similarity
301,26,edit_similarity
302,24,edit_similarity
303,11,edit_similarity
304,18,edit_similarity
305,87,edit_similarity
306,80,edit_similarity
307,6,edit_similarity
308,39,edit_similarity
309,31,edit_similarity
310,26,edit_similarity
311,24,edit_similarity
