idx,score,metric_name
0,54,edit_similarity
1,87,edit_similarity
2,54,edit_similarity
3,23,edit_similarity
4,53,edit_similarity
5,24,edit_similarity
6,100,edit_similarity
7,36,edit_similarity
8,32,edit_similarity
9,80,edit_similarity
10,21,edit_similarity
11,35,edit_similarity
12,30,edit_similarity
13,62,edit_similarity
14,44,edit_similarity
15,45,edit_similarity
16,94,edit_similarity
17,100,edit_similarity
18,42,edit_similarity
19,34,edit_similarity
20,64,edit_similarity
21,43,edit_similarity
22,95,edit_similarity
23,95,edit_similarity
24,56,edit_similarity
25,38,edit_similarity
26,85,edit_similarity
27,39,edit_similarity
28,10,edit_similarity
29,100,edit_similarity
30,42,edit_similarity
31,61,edit_similarity
32,51,edit_similarity
33,54,edit_similarity
34,92,edit_similarity
35,81,edit_similarity
36,29,edit_similarity
37,33,edit_similarity
38,54,edit_similarity
39,59,edit_similarity
40,56,edit_similarity
41,27,edit_similarity
42,63,edit_similarity
43,81,edit_similarity
44,91,edit_similarity
45,33,edit_similarity
46,31,edit_similarity
47,62,edit_similarity
48,69,edit_similarity
49,24,edit_similarity
50,40,edit_similarity
51,100,edit_similarity
52,45,edit_similarity
53,69,edit_similarity
54,92,edit_similarity
55,39,edit_similarity
56,100,edit_similarity
57,100,edit_similarity
58,97,edit_similarity
59,12,edit_similarity
60,48,edit_similarity
61,66,edit_similarity
62,45,edit_similarity
63,85,edit_similarity
64,100,edit_similarity
65,96,edit_similarity
66,28,edit_similarity
67,93,edit_similarity
68,0,edit_similarity
69,86,edit_similarity
70,35,edit_similarity
71,62,edit_similarity
72,30,edit_similarity
73,90,edit_similarity
74,47,edit_similarity
75,27,edit_similarity
76,34,edit_similarity
77,44,edit_similarity
78,96,edit_similarity
79,50,edit_similarity
80,69,edit_similarity
81,66,edit_similarity
82,58,edit_similarity
83,48,edit_similarity
84,85,edit_similarity
85,100,edit_similarity
86,33,edit_similarity
87,39,edit_similarity
88,50,edit_similarity
89,0,edit_similarity
90,89,edit_similarity
91,86,edit_similarity
92,32,edit_similarity
93,92,edit_similarity
94,34,edit_similarity
95,90,edit_similarity
96,90,edit_similarity
97,95,edit_similarity
98,48,edit_similarity
99,83,edit_similarity
100,32,edit_similarity
101,89,edit_similarity
102,42,edit_similarity
103,18,edit_similarity
104,72,edit_similarity
105,95,edit_similarity
106,25,edit_similarity
107,31,edit_similarity
108,76,edit_similarity
109,45,edit_similarity
110,100,edit_similarity
111,46,edit_similarity
112,45,edit_similarity
113,43,edit_similarity
114,51,edit_similarity
115,100,edit_similarity
116,29,edit_similarity
117,100,edit_similarity
118,91,edit_similarity
119,30,edit_similarity
120,32,edit_similarity
121,100,edit_similarity
122,67,edit_similarity
123,90,edit_similarity
124,51,edit_similarity
125,30,edit_similarity
126,84,edit_similarity
127,49,edit_similarity
128,90,edit_similarity
129,98,edit_similarity
130,87,edit_similarity
131,34,edit_similarity
132,58,edit_similarity
133,74,edit_similarity
134,33,edit_similarity
135,37,edit_similarity
136,46,edit_similarity
137,46,edit_similarity
138,26,edit_similarity
139,73,edit_similarity
140,98,edit_similarity
141,100,edit_similarity
142,38,edit_similarity
143,100,edit_similarity
144,94,edit_similarity
145,60,edit_similarity
146,29,edit_similarity
147,61,edit_similarity
148,44,edit_similarity
149,100,edit_similarity
150,41,edit_similarity
151,77,edit_similarity
152,82,edit_similarity
153,97,edit_similarity
154,48,edit_similarity
155,16,edit_similarity
156,62,edit_similarity
157,79,edit_similarity
158,44,edit_similarity
159,59,edit_similarity
160,49,edit_similarity
161,90,edit_similarity
162,100,edit_similarity
163,88,edit_similarity
