id,score,metric_name
memory_vector_3-customer-3,0.0,accuracy
memory_vector_4-customer-4,0.0,accuracy
memory_vector_5-customer-5,0.0,accuracy
memory_vector_7-customer-7,0.0,accuracy
memory_vector_8-customer-8,0.0,accuracy
memory_vector_9-customer-9,0.0,accuracy
memory_vector_10-customer-10,0.0,accuracy
memory_vector_13-customer-13,0.0,accuracy
memory_vector_14-customer-14,0.0,accuracy
memory_vector_16-customer-16,0.0,accuracy
memory_vector_17-customer-17,0.0,accuracy
memory_vector_18-customer-18,0.0,accuracy
memory_vector_19-customer-19,0.0,accuracy
memory_vector_20-customer-20,0.0,accuracy
memory_vector_21-customer-21,0.0,accuracy
memory_vector_22-customer-22,0.0,accuracy
memory_vector_23-customer-23,0.0,accuracy
memory_vector_24-customer-24,0.0,accuracy
memory_vector_25-customer-25,0.0,accuracy
memory_vector_26-customer-26,0.0,accuracy
memory_vector_27-customer-27,0.0,accuracy
memory_vector_28-customer-28,0.0,accuracy
memory_vector_29-customer-29,0.0,accuracy
memory_vector_32-healthcare-2,0.0,accuracy
memory_vector_35-healthcare-5,0.0,accuracy
memory_vector_37-healthcare-7,0.0,accuracy
memory_vector_45-healthcare-15,0.0,accuracy
memory_vector_47-healthcare-17,0.0,accuracy
memory_vector_49-healthcare-19,0.0,accuracy
memory_vector_52-healthcare-22,0.0,accuracy
memory_vector_58-finance-3,0.0,accuracy
memory_vector_62-finance-7,0.0,accuracy
memory_vector_64-finance-9,0.0,accuracy
memory_vector_65-finance-10,0.0,accuracy
memory_vector_66-finance-11,0.0,accuracy
memory_vector_67-finance-12,0.0,accuracy
memory_vector_69-finance-14,0.0,accuracy
memory_vector_70-finance-15,0.0,accuracy
memory_vector_71-finance-16,0.0,accuracy
memory_vector_72-finance-17,0.0,accuracy
memory_vector_73-finance-18,0.0,accuracy
memory_vector_74-finance-19,0.0,accuracy
memory_vector_77-finance-22,0.0,accuracy
memory_vector_79-finance-24,0.0,accuracy
memory_vector_84-student-4,0.0,accuracy
memory_vector_85-student-5,0.0,accuracy
memory_vector_86-student-6,0.0,accuracy
memory_vector_88-student-8,0.0,accuracy
memory_vector_89-student-9,0.0,accuracy
memory_vector_90-student-10,0.0,accuracy
memory_vector_91-student-11,0.0,accuracy
memory_vector_92-student-12,0.0,accuracy
memory_vector_94-student-14,0.0,accuracy
memory_vector_96-student-16,0.0,accuracy
memory_vector_101-student-21,0.0,accuracy
memory_vector_102-student-22,0.0,accuracy
memory_vector_104-student-24,0.0,accuracy
memory_vector_108-student-28,0.0,accuracy
memory_vector_109-student-29,0.0,accuracy
memory_vector_110-student-30,0.0,accuracy
memory_vector_111-student-31,0.0,accuracy
memory_vector_112-student-32,0.0,accuracy
memory_vector_113-student-33,0.0,accuracy
memory_vector_114-student-34,0.0,accuracy
memory_vector_115-student-35,0.0,accuracy
memory_vector_116-student-36,0.0,accuracy
memory_vector_118-student-38,0.0,accuracy
memory_vector_119-student-39,0.0,accuracy
memory_vector_120-student-40,0.0,accuracy
memory_vector_121-student-41,0.0,accuracy
memory_vector_123-student-43,0.0,accuracy
memory_vector_124-student-44,0.0,accuracy
memory_vector_125-student-45,0.0,accuracy
memory_vector_126-student-46,0.0,accuracy
memory_vector_127-student-47,0.0,accuracy
memory_vector_128-student-48,0.0,accuracy
memory_vector_129-student-49,0.0,accuracy
memory_vector_132-notetaker-2,0.0,accuracy
memory_vector_134-notetaker-4,0.0,accuracy
memory_vector_135-notetaker-5,0.0,accuracy
memory_vector_139-notetaker-9,0.0,accuracy
memory_vector_144-notetaker-14,0.0,accuracy
memory_vector_145-notetaker-15,0.0,accuracy
memory_vector_146-notetaker-16,0.0,accuracy
memory_vector_148-notetaker-18,0.0,accuracy
memory_vector_150-notetaker-20,0.0,accuracy
memory_vector_152-notetaker-22,0.0,accuracy
memory_vector_153-notetaker-23,0.0,accuracy
