id,score,metric_name
web_search_no_snippet_0,0.0,accuracy
web_search_no_snippet_1,1.0,accuracy
web_search_no_snippet_2,1.0,accuracy
web_search_no_snippet_3,1.0,accuracy
web_search_no_snippet_4,1.0,accuracy
web_search_no_snippet_5,1.0,accuracy
web_search_no_snippet_6,1.0,accuracy
web_search_no_snippet_7,1.0,accuracy
web_search_no_snippet_8,1.0,accuracy
web_search_no_snippet_9,0.0,accuracy
web_search_no_snippet_10,1.0,accuracy
web_search_no_snippet_11,1.0,accuracy
web_search_no_snippet_12,1.0,accuracy
web_search_no_snippet_13,1.0,accuracy
web_search_no_snippet_14,1.0,accuracy
web_search_no_snippet_15,1.0,accuracy
web_search_no_snippet_16,1.0,accuracy
web_search_no_snippet_17,0.0,accuracy
web_search_no_snippet_18,0.0,accuracy
web_search_no_snippet_19,1.0,accuracy
web_search_no_snippet_20,1.0,accuracy
web_search_no_snippet_21,1.0,accuracy
web_search_no_snippet_22,1.0,accuracy
web_search_no_snippet_23,1.0,accuracy
web_search_no_snippet_24,1.0,accuracy
web_search_no_snippet_25,1.0,accuracy
web_search_no_snippet_26,1.0,accuracy
web_search_no_snippet_27,0.0,accuracy
web_search_no_snippet_28,0.0,accuracy
web_search_no_snippet_29,1.0,accuracy
web_search_no_snippet_30,1.0,accuracy
web_search_no_snippet_31,0.0,accuracy
web_search_no_snippet_32,1.0,accuracy
web_search_no_snippet_33,1.0,accuracy
web_search_no_snippet_34,1.0,accuracy
web_search_no_snippet_35,1.0,accuracy
web_search_no_snippet_36,0.0,accuracy
web_search_no_snippet_37,0.0,accuracy
web_search_no_snippet_38,0.0,accuracy
web_search_no_snippet_39,1.0,accuracy
web_search_no_snippet_40,0.0,accuracy
web_search_no_snippet_41,1.0,accuracy
web_search_no_snippet_42,1.0,accuracy
web_search_no_snippet_43,1.0,accuracy
web_search_no_snippet_44,1.0,accuracy
web_search_no_snippet_45,1.0,accuracy
web_search_no_snippet_46,1.0,accuracy
web_search_no_snippet_47,0.0,accuracy
web_search_no_snippet_48,1.0,accuracy
web_search_no_snippet_49,1.0,accuracy
web_search_no_snippet_50,1.0,accuracy
web_search_no_snippet_51,0.0,accuracy
web_search_no_snippet_52,0.0,accuracy
web_search_no_snippet_53,0.0,accuracy
web_search_no_snippet_54,0.0,accuracy
web_search_no_snippet_55,1.0,accuracy
web_search_no_snippet_56,1.0,accuracy
web_search_no_snippet_57,0.0,accuracy
web_search_no_snippet_58,1.0,accuracy
web_search_no_snippet_59,0.0,accuracy
web_search_no_snippet_60,1.0,accuracy
web_search_no_snippet_61,1.0,accuracy
web_search_no_snippet_62,0.0,accuracy
web_search_no_snippet_63,1.0,accuracy
web_search_no_snippet_64,0.0,accuracy
web_search_no_snippet_65,0.0,accuracy
web_search_no_snippet_66,0.0,accuracy
web_search_no_snippet_67,1.0,accuracy
web_search_no_snippet_68,1.0,accuracy
web_search_no_snippet_69,0.0,accuracy
web_search_no_snippet_70,1.0,accuracy
web_search_no_snippet_71,0.0,accuracy
web_search_no_snippet_72,1.0,accuracy
web_search_no_snippet_73,0.0,accuracy
web_search_no_snippet_74,0.0,accuracy
web_search_no_snippet_75,0.0,accuracy
web_search_no_snippet_76,1.0,accuracy
web_search_no_snippet_77,1.0,accuracy
web_search_no_snippet_78,1.0,accuracy
web_search_no_snippet_79,1.0,accuracy
web_search_no_snippet_80,1.0,accuracy
web_search_no_snippet_81,0.0,accuracy
web_search_no_snippet_82,0.0,accuracy
web_search_no_snippet_83,1.0,accuracy
web_search_no_snippet_84,1.0,accuracy
web_search_no_snippet_85,1.0,accuracy
web_search_no_snippet_86,1.0,accuracy
web_search_no_snippet_87,0.0,accuracy
web_search_no_snippet_88,1.0,accuracy
web_search_no_snippet_89,1.0,accuracy
web_search_no_snippet_90,1.0,accuracy
web_search_no_snippet_91,1.0,accuracy
web_search_no_snippet_92,1.0,accuracy
web_search_no_snippet_93,1.0,accuracy
web_search_no_snippet_94,0.0,accuracy
web_search_no_snippet_95,1.0,accuracy
web_search_no_snippet_96,1.0,accuracy
web_search_no_snippet_97,1.0,accuracy
web_search_no_snippet_98,0.0,accuracy
web_search_no_snippet_99,0.0,accuracy
