id,score,metric_name
live_parallel_0,0.0,accuracy
live_parallel_1,0.0,accuracy
live_parallel_2,1.0,accuracy
live_parallel_3,0.0,accuracy
live_parallel_4,0.0,accuracy
live_parallel_5,1.0,accuracy
live_parallel_6,0.0,accuracy
live_parallel_7,0.0,accuracy
live_parallel_8,0.0,accuracy
live_parallel_9,1.0,accuracy
live_parallel_10,0.0,accuracy
live_parallel_11,0.0,accuracy
live_parallel_12,0.0,accuracy
live_parallel_13,0.0,accuracy
live_parallel_14,1.0,accuracy
live_parallel_15,0.0,accuracy
