id,score,metric_name
live_parallel_0,1.0,accuracy
live_parallel_1,1.0,accuracy
live_parallel_2,1.0,accuracy
live_parallel_3,1.0,accuracy
live_parallel_4,1.0,accuracy
live_parallel_5,1.0,accuracy
live_parallel_6,1.0,accuracy
live_parallel_7,1.0,accuracy
live_parallel_8,1.0,accuracy
live_parallel_9,1.0,accuracy
live_parallel_10,1.0,accuracy
live_parallel_11,0.0,accuracy
live_parallel_12,1.0,accuracy
live_parallel_13,1.0,accuracy
live_parallel_14,1.0,accuracy
live_parallel_15,0.0,accuracy
