id,score,metric_name
multi_turn_long_context_0,1.0,accuracy
multi_turn_long_context_1,1.0,accuracy
multi_turn_long_context_2,1.0,accuracy
multi_turn_long_context_3,1.0,accuracy
multi_turn_long_context_4,0.0,accuracy
multi_turn_long_context_5,1.0,accuracy
multi_turn_long_context_6,0.0,accuracy
multi_turn_long_context_7,1.0,accuracy
multi_turn_long_context_8,0.0,accuracy
multi_turn_long_context_9,0.0,accuracy
multi_turn_long_context_10,0.0,accuracy
multi_turn_long_context_11,0.0,accuracy
multi_turn_long_context_12,1.0,accuracy
multi_turn_long_context_13,1.0,accuracy
multi_turn_long_context_14,0.0,accuracy
multi_turn_long_context_15,1.0,accuracy
multi_turn_long_context_16,0.0,accuracy
multi_turn_long_context_17,1.0,accuracy
multi_turn_long_context_18,0.0,accuracy
multi_turn_long_context_19,1.0,accuracy
multi_turn_long_context_20,0.0,accuracy
multi_turn_long_context_21,1.0,accuracy
multi_turn_long_context_22,1.0,accuracy
multi_turn_long_context_23,1.0,accuracy
multi_turn_long_context_24,1.0,accuracy
multi_turn_long_context_25,0.0,accuracy
multi_turn_long_context_26,0.0,accuracy
multi_turn_long_context_27,1.0,accuracy
multi_turn_long_context_28,0.0,accuracy
multi_turn_long_context_29,0.0,accuracy
multi_turn_long_context_30,0.0,accuracy
multi_turn_long_context_31,0.0,accuracy
multi_turn_long_context_32,1.0,accuracy
multi_turn_long_context_33,1.0,accuracy
multi_turn_long_context_34,1.0,accuracy
multi_turn_long_context_35,0.0,accuracy
multi_turn_long_context_36,0.0,accuracy
multi_turn_long_context_37,1.0,accuracy
multi_turn_long_context_38,0.0,accuracy
multi_turn_long_context_39,1.0,accuracy
multi_turn_long_context_40,1.0,accuracy
multi_turn_long_context_41,0.0,accuracy
multi_turn_long_context_42,0.0,accuracy
multi_turn_long_context_43,0.0,accuracy
multi_turn_long_context_44,1.0,accuracy
multi_turn_long_context_45,0.0,accuracy
multi_turn_long_context_46,1.0,accuracy
multi_turn_long_context_47,0.0,accuracy
multi_turn_long_context_48,1.0,accuracy
multi_turn_long_context_49,0.0,accuracy
multi_turn_long_context_50,1.0,accuracy
multi_turn_long_context_51,1.0,accuracy
multi_turn_long_context_52,0.0,accuracy
