id,score,metric_name
multi_turn_miss_func_0,0.0,accuracy
multi_turn_miss_func_1,0.0,accuracy
multi_turn_miss_func_2,0.0,accuracy
multi_turn_miss_func_3,1.0,accuracy
multi_turn_miss_func_4,0.0,accuracy
multi_turn_miss_func_5,1.0,accuracy
multi_turn_miss_func_6,0.0,accuracy
multi_turn_miss_func_7,1.0,accuracy
multi_turn_miss_func_8,0.0,accuracy
multi_turn_miss_func_9,0.0,accuracy
multi_turn_miss_func_10,0.0,accuracy
multi_turn_miss_func_11,1.0,accuracy
multi_turn_miss_func_12,0.0,accuracy
multi_turn_miss_func_13,1.0,accuracy
multi_turn_miss_func_14,1.0,accuracy
multi_turn_miss_func_15,0.0,accuracy
multi_turn_miss_func_16,0.0,accuracy
multi_turn_miss_func_17,1.0,accuracy
multi_turn_miss_func_18,0.0,accuracy
multi_turn_miss_func_19,0.0,accuracy
multi_turn_miss_func_20,1.0,accuracy
multi_turn_miss_func_21,1.0,accuracy
multi_turn_miss_func_22,1.0,accuracy
multi_turn_miss_func_23,0.0,accuracy
multi_turn_miss_func_24,0.0,accuracy
multi_turn_miss_func_25,0.0,accuracy
multi_turn_miss_func_26,0.0,accuracy
multi_turn_miss_func_27,1.0,accuracy
multi_turn_miss_func_28,0.0,accuracy
multi_turn_miss_func_29,1.0,accuracy
multi_turn_miss_func_30,0.0,accuracy
multi_turn_miss_func_31,0.0,accuracy
multi_turn_miss_func_32,0.0,accuracy
multi_turn_miss_func_33,1.0,accuracy
multi_turn_miss_func_34,0.0,accuracy
multi_turn_miss_func_35,1.0,accuracy
multi_turn_miss_func_36,0.0,accuracy
multi_turn_miss_func_37,0.0,accuracy
multi_turn_miss_func_38,0.0,accuracy
multi_turn_miss_func_39,1.0,accuracy
multi_turn_miss_func_40,1.0,accuracy
multi_turn_miss_func_41,1.0,accuracy
multi_turn_miss_func_42,0.0,accuracy
multi_turn_miss_func_43,0.0,accuracy
multi_turn_miss_func_44,1.0,accuracy
multi_turn_miss_func_45,0.0,accuracy
multi_turn_miss_func_46,0.0,accuracy
multi_turn_miss_func_47,1.0,accuracy
multi_turn_miss_func_48,1.0,accuracy
multi_turn_miss_func_49,0.0,accuracy
multi_turn_miss_func_50,1.0,accuracy
multi_turn_miss_func_51,0.0,accuracy
multi_turn_miss_func_52,0.0,accuracy
multi_turn_miss_func_53,1.0,accuracy
multi_turn_miss_func_54,1.0,accuracy
multi_turn_miss_func_55,0.0,accuracy
multi_turn_miss_func_56,1.0,accuracy
multi_turn_miss_func_57,1.0,accuracy
multi_turn_miss_func_58,0.0,accuracy
multi_turn_miss_func_59,0.0,accuracy
multi_turn_miss_func_60,0.0,accuracy
multi_turn_miss_func_61,0.0,accuracy
multi_turn_miss_func_62,0.0,accuracy
multi_turn_miss_func_63,0.0,accuracy
multi_turn_miss_func_64,0.0,accuracy
multi_turn_miss_func_65,1.0,accuracy
multi_turn_miss_func_66,0.0,accuracy
multi_turn_miss_func_67,1.0,accuracy
multi_turn_miss_func_68,0.0,accuracy
multi_turn_miss_func_69,0.0,accuracy
multi_turn_miss_func_70,0.0,accuracy
multi_turn_miss_func_71,1.0,accuracy
multi_turn_miss_func_72,0.0,accuracy
multi_turn_miss_func_73,0.0,accuracy
multi_turn_miss_func_74,1.0,accuracy
multi_turn_miss_func_75,0.0,accuracy
multi_turn_miss_func_76,1.0,accuracy
multi_turn_miss_func_77,1.0,accuracy
multi_turn_miss_func_78,0.0,accuracy
multi_turn_miss_func_79,1.0,accuracy
multi_turn_miss_func_80,1.0,accuracy
multi_turn_miss_func_81,0.0,accuracy
multi_turn_miss_func_82,0.0,accuracy
multi_turn_miss_func_83,1.0,accuracy
multi_turn_miss_func_84,1.0,accuracy
multi_turn_miss_func_85,0.0,accuracy
multi_turn_miss_func_86,1.0,accuracy
multi_turn_miss_func_87,1.0,accuracy
multi_turn_miss_func_88,1.0,accuracy
multi_turn_miss_func_89,0.0,accuracy
multi_turn_miss_func_90,1.0,accuracy
multi_turn_miss_func_91,1.0,accuracy
multi_turn_miss_func_92,0.0,accuracy
multi_turn_miss_func_93,0.0,accuracy
multi_turn_miss_func_94,1.0,accuracy
multi_turn_miss_func_95,0.0,accuracy
multi_turn_miss_func_96,0.0,accuracy
multi_turn_miss_func_97,0.0,accuracy
multi_turn_miss_func_98,0.0,accuracy
multi_turn_miss_func_99,1.0,accuracy
multi_turn_miss_func_100,0.0,accuracy
multi_turn_miss_func_101,0.0,accuracy
multi_turn_miss_func_102,1.0,accuracy
multi_turn_miss_func_103,0.0,accuracy
multi_turn_miss_func_104,0.0,accuracy
multi_turn_miss_func_105,1.0,accuracy
multi_turn_miss_func_106,1.0,accuracy
multi_turn_miss_func_107,1.0,accuracy
multi_turn_miss_func_108,0.0,accuracy
multi_turn_miss_func_109,0.0,accuracy
multi_turn_miss_func_110,1.0,accuracy
multi_turn_miss_func_111,0.0,accuracy
multi_turn_miss_func_112,1.0,accuracy
multi_turn_miss_func_113,1.0,accuracy
multi_turn_miss_func_114,0.0,accuracy
multi_turn_miss_func_115,1.0,accuracy
multi_turn_miss_func_116,1.0,accuracy
multi_turn_miss_func_117,1.0,accuracy
multi_turn_miss_func_118,1.0,accuracy
multi_turn_miss_func_119,1.0,accuracy
multi_turn_miss_func_120,1.0,accuracy
multi_turn_miss_func_121,0.0,accuracy
multi_turn_miss_func_122,1.0,accuracy
multi_turn_miss_func_123,1.0,accuracy
multi_turn_miss_func_124,1.0,accuracy
multi_turn_miss_func_125,0.0,accuracy
multi_turn_miss_func_126,1.0,accuracy
multi_turn_miss_func_127,0.0,accuracy
multi_turn_miss_func_128,1.0,accuracy
multi_turn_miss_func_129,1.0,accuracy
multi_turn_miss_func_130,1.0,accuracy
multi_turn_miss_func_131,1.0,accuracy
multi_turn_miss_func_132,1.0,accuracy
multi_turn_miss_func_133,0.0,accuracy
multi_turn_miss_func_134,1.0,accuracy
multi_turn_miss_func_135,1.0,accuracy
multi_turn_miss_func_136,1.0,accuracy
multi_turn_miss_func_137,0.0,accuracy
multi_turn_miss_func_138,1.0,accuracy
multi_turn_miss_func_139,1.0,accuracy
multi_turn_miss_func_140,0.0,accuracy
multi_turn_miss_func_141,1.0,accuracy
multi_turn_miss_func_142,0.0,accuracy
multi_turn_miss_func_143,0.0,accuracy
multi_turn_miss_func_144,1.0,accuracy
multi_turn_miss_func_145,0.0,accuracy
multi_turn_miss_func_146,1.0,accuracy
multi_turn_miss_func_147,1.0,accuracy
multi_turn_miss_func_148,1.0,accuracy
multi_turn_miss_func_149,0.0,accuracy
multi_turn_miss_func_150,1.0,accuracy
multi_turn_miss_func_151,1.0,accuracy
multi_turn_miss_func_152,0.0,accuracy
multi_turn_miss_func_153,1.0,accuracy
multi_turn_miss_func_154,0.0,accuracy
multi_turn_miss_func_155,1.0,accuracy
multi_turn_miss_func_156,1.0,accuracy
multi_turn_miss_func_157,1.0,accuracy
