id,score,metric_name
irrelevance_0,1.0,accuracy
irrelevance_1,1.0,accuracy
irrelevance_2,1.0,accuracy
irrelevance_3,1.0,accuracy
irrelevance_4,1.0,accuracy
irrelevance_5,1.0,accuracy
irrelevance_6,1.0,accuracy
irrelevance_7,1.0,accuracy
irrelevance_8,1.0,accuracy
irrelevance_9,1.0,accuracy
irrelevance_10,1.0,accuracy
irrelevance_11,1.0,accuracy
irrelevance_12,1.0,accuracy
irrelevance_13,1.0,accuracy
irrelevance_14,1.0,accuracy
irrelevance_15,1.0,accuracy
irrelevance_16,1.0,accuracy
irrelevance_17,1.0,accuracy
irrelevance_18,1.0,accuracy
irrelevance_19,1.0,accuracy
irrelevance_20,1.0,accuracy
irrelevance_21,1.0,accuracy
irrelevance_22,1.0,accuracy
irrelevance_23,1.0,accuracy
irrelevance_24,1.0,accuracy
irrelevance_25,1.0,accuracy
irrelevance_26,0.0,accuracy
irrelevance_27,0.0,accuracy
irrelevance_28,1.0,accuracy
irrelevance_29,1.0,accuracy
irrelevance_30,1.0,accuracy
irrelevance_31,1.0,accuracy
irrelevance_32,1.0,accuracy
irrelevance_33,0.0,accuracy
irrelevance_34,1.0,accuracy
irrelevance_35,1.0,accuracy
irrelevance_36,1.0,accuracy
irrelevance_37,1.0,accuracy
irrelevance_38,1.0,accuracy
irrelevance_39,1.0,accuracy
irrelevance_40,1.0,accuracy
irrelevance_41,1.0,accuracy
irrelevance_42,1.0,accuracy
irrelevance_43,1.0,accuracy
irrelevance_44,1.0,accuracy
irrelevance_45,1.0,accuracy
irrelevance_46,0.0,accuracy
irrelevance_47,1.0,accuracy
irrelevance_48,1.0,accuracy
irrelevance_49,1.0,accuracy
irrelevance_50,1.0,accuracy
irrelevance_51,1.0,accuracy
irrelevance_52,1.0,accuracy
irrelevance_53,1.0,accuracy
irrelevance_54,1.0,accuracy
irrelevance_55,1.0,accuracy
irrelevance_56,1.0,accuracy
irrelevance_57,1.0,accuracy
irrelevance_58,1.0,accuracy
irrelevance_59,1.0,accuracy
irrelevance_60,1.0,accuracy
irrelevance_61,1.0,accuracy
irrelevance_62,1.0,accuracy
irrelevance_63,1.0,accuracy
irrelevance_64,1.0,accuracy
irrelevance_65,0.0,accuracy
irrelevance_66,1.0,accuracy
irrelevance_67,1.0,accuracy
irrelevance_68,1.0,accuracy
irrelevance_69,1.0,accuracy
irrelevance_70,1.0,accuracy
irrelevance_71,1.0,accuracy
irrelevance_72,0.0,accuracy
irrelevance_73,0.0,accuracy
irrelevance_74,0.0,accuracy
irrelevance_75,1.0,accuracy
irrelevance_76,1.0,accuracy
irrelevance_77,1.0,accuracy
irrelevance_78,1.0,accuracy
irrelevance_79,1.0,accuracy
irrelevance_80,1.0,accuracy
irrelevance_81,1.0,accuracy
irrelevance_82,1.0,accuracy
irrelevance_83,1.0,accuracy
irrelevance_84,1.0,accuracy
irrelevance_85,1.0,accuracy
irrelevance_86,0.0,accuracy
irrelevance_87,1.0,accuracy
irrelevance_88,1.0,accuracy
irrelevance_89,1.0,accuracy
irrelevance_90,1.0,accuracy
irrelevance_91,1.0,accuracy
irrelevance_92,1.0,accuracy
irrelevance_93,1.0,accuracy
irrelevance_94,1.0,accuracy
irrelevance_95,1.0,accuracy
irrelevance_96,1.0,accuracy
irrelevance_97,1.0,accuracy
irrelevance_98,1.0,accuracy
irrelevance_99,1.0,accuracy
irrelevance_100,1.0,accuracy
irrelevance_101,1.0,accuracy
irrelevance_102,1.0,accuracy
irrelevance_103,1.0,accuracy
irrelevance_104,1.0,accuracy
irrelevance_105,1.0,accuracy
irrelevance_106,1.0,accuracy
irrelevance_107,1.0,accuracy
irrelevance_108,1.0,accuracy
irrelevance_109,1.0,accuracy
irrelevance_110,1.0,accuracy
irrelevance_111,1.0,accuracy
irrelevance_112,1.0,accuracy
irrelevance_113,0.0,accuracy
irrelevance_114,1.0,accuracy
irrelevance_115,0.0,accuracy
irrelevance_116,1.0,accuracy
irrelevance_117,1.0,accuracy
irrelevance_118,1.0,accuracy
irrelevance_119,1.0,accuracy
irrelevance_120,1.0,accuracy
irrelevance_121,0.0,accuracy
irrelevance_122,1.0,accuracy
irrelevance_123,1.0,accuracy
irrelevance_124,0.0,accuracy
irrelevance_125,1.0,accuracy
irrelevance_126,1.0,accuracy
irrelevance_127,0.0,accuracy
irrelevance_128,1.0,accuracy
irrelevance_129,1.0,accuracy
irrelevance_130,1.0,accuracy
irrelevance_131,1.0,accuracy
irrelevance_132,1.0,accuracy
irrelevance_133,1.0,accuracy
irrelevance_134,1.0,accuracy
irrelevance_135,1.0,accuracy
irrelevance_136,1.0,accuracy
irrelevance_137,1.0,accuracy
irrelevance_138,1.0,accuracy
irrelevance_139,1.0,accuracy
irrelevance_140,1.0,accuracy
irrelevance_141,1.0,accuracy
irrelevance_142,1.0,accuracy
irrelevance_143,1.0,accuracy
irrelevance_144,1.0,accuracy
irrelevance_145,0.0,accuracy
irrelevance_146,1.0,accuracy
irrelevance_147,1.0,accuracy
irrelevance_148,1.0,accuracy
irrelevance_149,1.0,accuracy
irrelevance_150,1.0,accuracy
irrelevance_151,1.0,accuracy
irrelevance_152,1.0,accuracy
irrelevance_153,1.0,accuracy
irrelevance_154,1.0,accuracy
irrelevance_155,1.0,accuracy
irrelevance_156,1.0,accuracy
irrelevance_157,1.0,accuracy
irrelevance_158,1.0,accuracy
irrelevance_159,1.0,accuracy
irrelevance_160,0.0,accuracy
irrelevance_161,1.0,accuracy
irrelevance_162,1.0,accuracy
irrelevance_163,1.0,accuracy
irrelevance_164,0.0,accuracy
irrelevance_165,0.0,accuracy
irrelevance_166,1.0,accuracy
irrelevance_167,1.0,accuracy
irrelevance_168,1.0,accuracy
irrelevance_169,1.0,accuracy
irrelevance_170,1.0,accuracy
irrelevance_171,1.0,accuracy
irrelevance_172,1.0,accuracy
irrelevance_173,1.0,accuracy
irrelevance_174,0.0,accuracy
irrelevance_175,1.0,accuracy
irrelevance_176,1.0,accuracy
irrelevance_177,1.0,accuracy
irrelevance_178,1.0,accuracy
irrelevance_179,1.0,accuracy
irrelevance_180,0.0,accuracy
irrelevance_181,1.0,accuracy
irrelevance_182,0.0,accuracy
irrelevance_183,1.0,accuracy
irrelevance_184,1.0,accuracy
irrelevance_185,1.0,accuracy
irrelevance_186,1.0,accuracy
irrelevance_187,1.0,accuracy
irrelevance_188,0.0,accuracy
irrelevance_189,1.0,accuracy
irrelevance_190,1.0,accuracy
irrelevance_191,1.0,accuracy
irrelevance_192,1.0,accuracy
irrelevance_193,1.0,accuracy
irrelevance_194,1.0,accuracy
irrelevance_195,1.0,accuracy
irrelevance_196,1.0,accuracy
irrelevance_197,1.0,accuracy
irrelevance_198,1.0,accuracy
irrelevance_199,0.0,accuracy
irrelevance_200,1.0,accuracy
irrelevance_201,1.0,accuracy
irrelevance_202,1.0,accuracy
irrelevance_203,0.0,accuracy
irrelevance_204,1.0,accuracy
irrelevance_205,1.0,accuracy
irrelevance_206,1.0,accuracy
irrelevance_207,1.0,accuracy
irrelevance_208,1.0,accuracy
irrelevance_209,1.0,accuracy
irrelevance_210,1.0,accuracy
irrelevance_211,1.0,accuracy
irrelevance_212,0.0,accuracy
irrelevance_213,0.0,accuracy
irrelevance_214,1.0,accuracy
irrelevance_215,1.0,accuracy
irrelevance_216,1.0,accuracy
irrelevance_217,1.0,accuracy
irrelevance_218,1.0,accuracy
irrelevance_219,0.0,accuracy
irrelevance_220,1.0,accuracy
irrelevance_221,1.0,accuracy
irrelevance_222,1.0,accuracy
irrelevance_223,0.0,accuracy
irrelevance_224,1.0,accuracy
irrelevance_225,1.0,accuracy
irrelevance_226,0.0,accuracy
irrelevance_227,0.0,accuracy
irrelevance_228,0.0,accuracy
irrelevance_229,1.0,accuracy
irrelevance_230,1.0,accuracy
irrelevance_231,1.0,accuracy
irrelevance_232,0.0,accuracy
irrelevance_233,1.0,accuracy
irrelevance_234,1.0,accuracy
irrelevance_235,1.0,accuracy
irrelevance_236,0.0,accuracy
irrelevance_237,1.0,accuracy
irrelevance_238,1.0,accuracy
irrelevance_239,1.0,accuracy
