id,score,metric_name
0_0_3,0.1,total_score
0_1_3,0.5,total_score
0_2_3,0.3,total_score
0_3_3,0.2,total_score
0_4_3,0.6799999999999999,total_score
1_0_3,0.1,total_score
1_1_3,0.5,total_score
1_2_3,0.45,total_score
1_3_3,0.5,total_score
1_4_3,0.5,total_score
2_0_3,0.1,total_score
2_1_3,0.1,total_score
2_2_3,0.9,total_score
2_3_3,0.125,total_score
2_4_3,0.89,total_score
3_0_3,0.1,total_score
3_1_3,0.5,total_score
3_2_3,0.23333333333333334,total_score
3_3_3,0.5,total_score
3_4_3,0.27999999999999997,total_score
4_0_3,0.1,total_score
4_1_3,0.5,total_score
4_2_3,0.2,total_score
4_3_3,0.275,total_score
4_4_3,0.27999999999999997,total_score
0_0_6,0.1,total_score
0_1_6,0.925,total_score
0_2_6,0.2,total_score
0_3_6,0.225,total_score
0_4_6,0.75,total_score
1_0_6,0.1,total_score
1_1_6,0.5,total_score
1_2_6,0.4,total_score
1_3_6,0.1,total_score
1_4_6,0.42000000000000004,total_score
2_0_6,0.9,total_score
2_1_6,0.475,total_score
2_2_6,0.9,total_score
2_3_6,0.5,total_score
2_4_6,0.5,total_score
3_0_6,0.25,total_score
3_1_6,0.5,total_score
3_2_6,0.5,total_score
3_3_6,0.5,total_score
3_4_6,0.5,total_score
4_0_6,0.25,total_score
4_1_6,0.15,total_score
4_2_6,0.5,total_score
4_3_6,0.275,total_score
4_4_6,0.5,total_score
0_0_13,0.7,total_score
0_1_13,0.4,total_score
0_2_13,0.5,total_score
0_3_13,0.5,total_score
0_4_13,0.2,total_score
1_0_13,0.25,total_score
1_1_13,0.95,total_score
1_2_13,0.2,total_score
1_3_13,0.175,total_score
1_4_13,0.2,total_score
2_0_13,0.5,total_score
2_1_13,0.55,total_score
2_2_13,0.1,total_score
2_3_13,0.5,total_score
2_4_13,0.27999999999999997,total_score
3_0_13,0.1,total_score
3_1_13,0.45,total_score
3_2_13,0.2166666666666667,total_score
3_3_13,0.4375,total_score
3_4_13,0.18,total_score
4_0_13,0.7,total_score
4_1_13,0.2,total_score
4_2_13,0.2666666666666667,total_score
4_3_13,0.2875,total_score
4_4_13,0.18,total_score
0_0_28,0.2,total_score
0_1_28,0.5,total_score
0_2_28,0.16666666666666669,total_score
0_3_28,0.5,total_score
0_4_28,0.5,total_score
1_0_28,0.5,total_score
1_1_28,0.25,total_score
1_2_28,0.5666666666666667,total_score
1_3_28,0.125,total_score
1_4_28,0.95,total_score
2_0_28,0.4,total_score
2_1_28,0.25,total_score
2_2_28,0.5,total_score
2_3_28,0.9125,total_score
2_4_28,0.5,total_score
3_0_28,0.25,total_score
3_1_28,0.5,total_score
3_2_28,0.1,total_score
3_3_28,0.25,total_score
3_4_28,0.22000000000000003,total_score
4_0_28,0.4,total_score
4_1_28,0.5,total_score
4_2_28,0.2,total_score
4_3_28,0.45,total_score
4_4_28,0.16,total_score
0_0_60,0.1,total_score
0_1_60,0.1,total_score
0_2_60,0.2666666666666667,total_score
0_3_60,0.125,total_score
0_4_60,0.13999999999999999,total_score
1_0_60,0.1,total_score
1_1_60,0.4,total_score
1_2_60,0.16666666666666669,total_score
1_3_60,0.175,total_score
1_4_60,0.1,total_score
2_0_60,0.1,total_score
2_1_60,0.4,total_score
2_2_60,0.2,total_score
2_3_60,0.15,total_score
2_4_60,0.18,total_score
3_0_60,0.1,total_score
3_1_60,0.1,total_score
3_2_60,0.2,total_score
3_3_60,0.25,total_score
3_4_60,0.13999999999999999,total_score
4_0_60,0.1,total_score
4_1_60,0.15,total_score
4_2_60,0.2666666666666667,total_score
4_3_60,0.275,total_score
4_4_60,0.18,total_score
0_0_120,0.2,total_score
0_1_120,0.15,total_score
0_2_120,0.16666666666666669,total_score
0_3_120,0.15,total_score
0_4_120,0.27999999999999997,total_score
1_0_120,0.4,total_score
1_1_120,0.4,total_score
1_2_120,0.2666666666666667,total_score
1_3_120,0.15,total_score
1_4_120,0.16,total_score
2_0_120,0.1,total_score
2_1_120,0.1,total_score
2_2_120,0.1,total_score
2_3_120,0.15,total_score
2_4_120,0.2,total_score
3_0_120,0.1,total_score
3_1_120,0.25,total_score
3_2_120,0.23333333333333334,total_score
3_3_120,0.15,total_score
3_4_120,0.18,total_score
4_0_120,0.4,total_score
4_1_120,0.2,total_score
4_2_120,0.16666666666666669,total_score
4_3_120,0.15,total_score
4_4_120,0.18,total_score
