id,score,metric_name
0_0_3,0.8833333333333334,total_score
0_1_3,0.8333333333333334,total_score
0_2_3,0.8833333333333334,total_score
0_3_3,0.4333333333333334,total_score
0_4_3,0.8833333333333334,total_score
1_0_3,0.5083333333333334,total_score
1_1_3,0.5583333333333333,total_score
1_2_3,0.5583333333333333,total_score
1_3_3,0.5583333333333333,total_score
1_4_3,0.5583333333333333,total_score
2_0_3,0.4083333333333334,total_score
2_1_3,0.375,total_score
2_2_3,0.5583333333333333,total_score
2_3_3,0.5583333333333333,total_score
2_4_3,0.4083333333333334,total_score
3_0_3,0.4333333333333334,total_score
3_1_3,0.55,total_score
3_2_3,1.0,total_score
3_3_3,0.4333333333333334,total_score
3_4_3,0.8833333333333334,total_score
4_0_3,0.4333333333333334,total_score
4_1_3,0.4333333333333334,total_score
4_2_3,0.8833333333333334,total_score
4_3_3,0.8833333333333334,total_score
4_4_3,0.8833333333333334,total_score
0_0_6,0.55,total_score
0_1_6,1.0,total_score
0_2_6,0.75,total_score
0_3_6,1.0,total_score
0_4_6,0.55,total_score
1_0_6,0.5583333333333333,total_score
1_1_6,0.5083333333333334,total_score
1_2_6,0.5583333333333333,total_score
1_3_6,0.5583333333333333,total_score
1_4_6,0.675,total_score
2_0_6,0.4083333333333334,total_score
2_1_6,0.5083333333333334,total_score
2_2_6,0.4916666666666667,total_score
2_3_6,0.5583333333333333,total_score
2_4_6,0.5583333333333333,total_score
3_0_6,0.4333333333333334,total_score
3_1_6,0.7333333333333334,total_score
3_2_6,0.8333333333333334,total_score
3_3_6,0.8833333333333334,total_score
3_4_6,0.55,total_score
4_0_6,0.55,total_score
4_1_6,0.38333333333333336,total_score
4_2_6,0.8333333333333334,total_score
4_3_6,0.4333333333333334,total_score
4_4_6,0.4333333333333334,total_score
0_0_13,0.82328125,total_score
0_1_13,0.9099999999999999,total_score
0_2_13,0.503125,total_score
0_3_13,0.82328125,total_score
0_4_13,0.4225,total_score
1_0_13,0.47625,total_score
1_1_13,0.585,total_score
1_2_13,0.545,total_score
1_3_13,0.48187499999999994,total_score
1_4_13,0.51,total_score
2_0_13,0.33625,total_score
2_1_13,0.355,total_score
2_2_13,0.505,total_score
2_3_13,0.545,total_score
2_4_13,0.545,total_score
3_0_13,0.90078125,total_score
3_1_13,0.73953125,total_score
3_2_13,0.87265625,total_score
3_3_13,0.9705729166666666,total_score
3_4_13,0.45999999999999996,total_score
4_0_13,0.3075,total_score
4_1_13,0.34750000000000003,total_score
4_2_13,0.7826562499999999,total_score
4_3_13,0.8149479166666665,total_score
4_4_13,0.875,total_score
0_0_28,0.7643990929705214,total_score
0_1_28,0.7166666666666667,total_score
0_2_28,0.8207482993197279,total_score
0_3_28,0.7132859204287776,total_score
0_4_28,0.7817460317460319,total_score
1_0_28,0.2630952380952381,total_score
1_1_28,0.22023809523809526,total_score
1_2_28,0.556886522725032,total_score
1_3_28,0.4885023706452277,total_score
1_4_28,0.48171114599686027,total_score
2_0_28,0.2488095238095238,total_score
2_1_28,0.4023809523809524,total_score
2_2_28,0.5971371882086167,total_score
2_3_28,0.49535147392290246,total_score
2_4_28,0.3130952380952381,total_score
3_0_28,0.5301999587713874,total_score
3_1_28,0.7945578231292517,total_score
3_2_28,0.8243197278911565,total_score
3_3_28,0.7097222222222223,total_score
3_4_28,0.7300340136054422,total_score
4_0_28,0.6839285714285714,total_score
4_1_28,0.33333333333333337,total_score
4_2_28,0.8162698412698413,total_score
4_3_28,0.8334802102659247,total_score
4_4_28,0.917001133786848,total_score
0_0_60,0.4920510912698413,total_score
0_1_60,0.3772321428571429,total_score
0_2_60,0.4123503449675325,total_score
0_3_60,0.7944234283625732,total_score
0_4_60,0.27633928571428573,total_score
1_0_60,0.3334821428571429,total_score
1_1_60,0.2133928571428571,total_score
1_2_60,0.5319453125,total_score
1_3_60,0.43792951839826844,total_score
1_4_60,0.4009300595238095,total_score
2_0_60,0.2040178571428571,total_score
2_1_60,0.23214285714285712,total_score
2_2_60,0.5107299214975846,total_score
2_3_60,0.39112103174603174,total_score
2_4_60,0.2623511904761905,total_score
3_0_60,0.6988956766917294,total_score
3_1_60,0.28214285714285714,total_score
3_2_60,0.5059988839285714,total_score
3_3_60,0.6543152761776754,total_score
3_4_60,0.5771143353174603,total_score
4_0_60,0.2133928571428571,total_score
4_1_60,0.36056688537157283,total_score
4_2_60,0.6066099048520923,total_score
4_3_60,0.7283882472826086,total_score
4_4_60,0.5254439484126985,total_score
0_0_120,0.18482142857142855,total_score
0_1_120,0.47366470025510204,total_score
0_2_120,0.42929309881847477,total_score
0_3_120,0.6921628426079734,total_score
0_4_120,0.4817123724489796,total_score
1_0_120,0.1875,total_score
1_1_120,0.19553571428571428,total_score
1_2_120,0.2911766581632653,total_score
1_3_120,0.2924744897959184,total_score
1_4_120,0.6251105611792589,total_score
2_0_120,0.25089285714285714,total_score
2_1_120,0.2870575573979592,total_score
2_2_120,0.34244260204081634,total_score
2_3_120,0.4141954719387755,total_score
2_4_120,0.24955357142857143,total_score
3_0_120,0.3267857142857143,total_score
3_1_120,0.21651785714285712,total_score
3_2_120,0.6741150210084034,total_score
3_3_120,0.5509444402761104,total_score
3_4_120,0.5195972113643845,total_score
4_0_120,0.6215481505102041,total_score
4_1_120,0.2196428571428571,total_score
4_2_120,0.5067713647959183,total_score
4_3_120,0.47491868622448974,total_score
4_4_120,0.3620535714285714,total_score
