id,score,metric_name
0,0.0,accuracy
1,1.0,accuracy
2,0.0,accuracy
3,0.0,accuracy
4,1.0,accuracy
5,0.0,accuracy
6,0.0,accuracy
7,0.0,accuracy
8,1.0,accuracy
9,0.0,accuracy
10,0.0,accuracy
11,0.0,accuracy
12,1.0,accuracy
13,0.0,accuracy
14,0.0,accuracy
15,1.0,accuracy
16,0.0,accuracy
17,1.0,accuracy
18,1.0,accuracy
19,0.0,accuracy
20,1.0,accuracy
21,1.0,accuracy
22,1.0,accuracy
23,0.0,accuracy
24,1.0,accuracy
25,0.0,accuracy
26,1.0,accuracy
27,1.0,accuracy
28,1.0,accuracy
29,0.0,accuracy
30,0.0,accuracy
31,1.0,accuracy
32,0.0,accuracy
33,1.0,accuracy
34,1.0,accuracy
35,1.0,accuracy
36,1.0,accuracy
37,0.0,accuracy
38,0.0,accuracy
39,0.0,accuracy
40,0.0,accuracy
41,0.0,accuracy
42,1.0,accuracy
43,0.0,accuracy
44,1.0,accuracy
45,0.0,accuracy
46,1.0,accuracy
47,0.0,accuracy
48,1.0,accuracy
49,1.0,accuracy
50,0.0,accuracy
51,0.0,accuracy
52,1.0,accuracy
53,0.0,accuracy
54,1.0,accuracy
55,1.0,accuracy
56,1.0,accuracy
57,0.0,accuracy
58,0.0,accuracy
59,1.0,accuracy
60,1.0,accuracy
61,0.0,accuracy
62,1.0,accuracy
63,0.0,accuracy
64,0.0,accuracy
65,1.0,accuracy
66,0.0,accuracy
67,0.0,accuracy
68,0.0,accuracy
69,1.0,accuracy
70,1.0,accuracy
71,0.0,accuracy
72,0.0,accuracy
73,1.0,accuracy
74,0.0,accuracy
75,1.0,accuracy
76,1.0,accuracy
77,1.0,accuracy
78,1.0,accuracy
79,1.0,accuracy
80,1.0,accuracy
81,1.0,accuracy
82,1.0,accuracy
83,0.0,accuracy
84,0.0,accuracy
85,0.0,accuracy
86,0.0,accuracy
87,0.0,accuracy
88,0.0,accuracy
89,0.0,accuracy
90,0.0,accuracy
91,1.0,accuracy
92,1.0,accuracy
93,1.0,accuracy
94,1.0,accuracy
95,1.0,accuracy
96,1.0,accuracy
97,0.0,accuracy
98,1.0,accuracy
99,1.0,accuracy
100,1.0,accuracy
101,1.0,accuracy
102,0.0,accuracy
103,0.0,accuracy
104,0.0,accuracy
105,1.0,accuracy
106,0.0,accuracy
107,0.0,accuracy
108,0.0,accuracy
109,0.0,accuracy
110,1.0,accuracy
111,1.0,accuracy
112,1.0,accuracy
113,0.0,accuracy
114,1.0,accuracy
115,1.0,accuracy
116,1.0,accuracy
117,1.0,accuracy
118,0.0,accuracy
119,1.0,accuracy
120,1.0,accuracy
121,0.0,accuracy
122,1.0,accuracy
123,0.0,accuracy
124,1.0,accuracy
125,1.0,accuracy
126,1.0,accuracy
127,1.0,accuracy
128,1.0,accuracy
129,0.0,accuracy
130,1.0,accuracy
131,0.0,accuracy
132,0.0,accuracy
133,0.0,accuracy
134,1.0,accuracy
135,0.0,accuracy
136,0.0,accuracy
137,0.0,accuracy
138,0.0,accuracy
139,1.0,accuracy
140,1.0,accuracy
141,1.0,accuracy
142,1.0,accuracy
143,0.0,accuracy
144,1.0,accuracy
145,1.0,accuracy
146,1.0,accuracy
147,1.0,accuracy
148,1.0,accuracy
149,0.0,accuracy
150,0.0,accuracy
151,1.0,accuracy
152,0.0,accuracy
153,1.0,accuracy
154,1.0,accuracy
155,0.0,accuracy
156,1.0,accuracy
157,1.0,accuracy
158,1.0,accuracy
159,1.0,accuracy
160,0.0,accuracy
161,1.0,accuracy
162,1.0,accuracy
163,1.0,accuracy
164,1.0,accuracy
165,1.0,accuracy
166,0.0,accuracy
167,1.0,accuracy
168,0.0,accuracy
169,1.0,accuracy
170,1.0,accuracy
171,0.0,accuracy
172,0.0,accuracy
173,1.0,accuracy
174,1.0,accuracy
175,1.0,accuracy
176,1.0,accuracy
177,1.0,accuracy
178,0.0,accuracy
179,1.0,accuracy
180,0.0,accuracy
181,1.0,accuracy
182,1.0,accuracy
183,0.0,accuracy
184,1.0,accuracy
185,1.0,accuracy
186,1.0,accuracy
187,0.0,accuracy
188,0.0,accuracy
189,0.0,accuracy
190,0.0,accuracy
191,1.0,accuracy
192,1.0,accuracy
193,1.0,accuracy
194,0.0,accuracy
195,1.0,accuracy
196,1.0,accuracy
197,0.0,accuracy
198,0.0,accuracy
199,1.0,accuracy
200,1.0,accuracy
201,1.0,accuracy
202,1.0,accuracy
203,1.0,accuracy
204,1.0,accuracy
205,0.0,accuracy
206,1.0,accuracy
207,1.0,accuracy
208,1.0,accuracy
209,0.0,accuracy
210,1.0,accuracy
211,0.0,accuracy
212,1.0,accuracy
213,0.0,accuracy
214,0.0,accuracy
215,1.0,accuracy
216,0.0,accuracy
217,0.0,accuracy
218,1.0,accuracy
219,1.0,accuracy
220,1.0,accuracy
221,0.0,accuracy
222,1.0,accuracy
223,1.0,accuracy
224,1.0,accuracy
225,0.0,accuracy
226,1.0,accuracy
227,0.0,accuracy
228,1.0,accuracy
229,1.0,accuracy
230,0.0,accuracy
231,1.0,accuracy
232,0.0,accuracy
233,0.0,accuracy
234,0.0,accuracy
235,1.0,accuracy
236,1.0,accuracy
237,1.0,accuracy
238,1.0,accuracy
239,1.0,accuracy
240,1.0,accuracy
241,0.0,accuracy
242,1.0,accuracy
243,1.0,accuracy
244,1.0,accuracy
245,0.0,accuracy
246,0.0,accuracy
247,0.0,accuracy
248,0.0,accuracy
249,1.0,accuracy
250,1.0,accuracy
251,1.0,accuracy
252,0.0,accuracy
253,0.0,accuracy
254,1.0,accuracy
255,1.0,accuracy
256,1.0,accuracy
257,0.0,accuracy
258,1.0,accuracy
259,0.0,accuracy
260,1.0,accuracy
261,1.0,accuracy
262,0.0,accuracy
263,0.0,accuracy
264,1.0,accuracy
265,1.0,accuracy
266,1.0,accuracy
267,0.0,accuracy
268,0.0,accuracy
269,0.0,accuracy
270,1.0,accuracy
271,1.0,accuracy
272,0.0,accuracy
273,0.0,accuracy
274,1.0,accuracy
275,1.0,accuracy
276,1.0,accuracy
277,0.0,accuracy
278,1.0,accuracy
279,1.0,accuracy
280,1.0,accuracy
281,1.0,accuracy
