id,score,metric_name
0,0.0,accuracy
1,0.0,accuracy
2,1.0,accuracy
3,0.0,accuracy
4,0.0,accuracy
5,0.0,accuracy
6,0.0,accuracy
7,1.0,accuracy
8,1.0,accuracy
9,0.0,accuracy
10,0.0,accuracy
11,0.0,accuracy
12,0.0,accuracy
13,1.0,accuracy
14,1.0,accuracy
15,0.0,accuracy
16,1.0,accuracy
17,0.0,accuracy
18,1.0,accuracy
19,0.0,accuracy
20,0.0,accuracy
21,0.0,accuracy
22,0.0,accuracy
23,0.0,accuracy
24,0.0,accuracy
25,0.0,accuracy
26,0.0,accuracy
27,1.0,accuracy
28,1.0,accuracy
29,0.0,accuracy
30,1.0,accuracy
31,0.0,accuracy
32,1.0,accuracy
33,1.0,accuracy
34,0.0,accuracy
35,1.0,accuracy
36,0.0,accuracy
37,0.0,accuracy
38,0.0,accuracy
39,0.0,accuracy
40,1.0,accuracy
41,0.0,accuracy
42,1.0,accuracy
43,0.0,accuracy
44,0.0,accuracy
45,0.0,accuracy
46,0.0,accuracy
47,0.0,accuracy
48,0.0,accuracy
49,0.0,accuracy
50,0.0,accuracy
51,0.0,accuracy
52,1.0,accuracy
53,0.0,accuracy
54,0.0,accuracy
55,0.0,accuracy
56,0.0,accuracy
57,1.0,accuracy
58,0.0,accuracy
59,0.0,accuracy
60,0.0,accuracy
61,0.0,accuracy
62,1.0,accuracy
63,0.0,accuracy
64,1.0,accuracy
65,0.0,accuracy
66,0.0,accuracy
67,1.0,accuracy
68,0.0,accuracy
69,1.0,accuracy
70,0.0,accuracy
71,0.0,accuracy
72,0.0,accuracy
73,0.0,accuracy
74,1.0,accuracy
75,1.0,accuracy
76,1.0,accuracy
77,0.0,accuracy
78,0.0,accuracy
79,0.0,accuracy
80,1.0,accuracy
81,0.0,accuracy
82,0.0,accuracy
83,0.0,accuracy
84,0.0,accuracy
85,0.0,accuracy
86,1.0,accuracy
87,0.0,accuracy
88,0.0,accuracy
89,0.0,accuracy
90,1.0,accuracy
91,0.0,accuracy
92,0.0,accuracy
93,0.0,accuracy
94,1.0,accuracy
95,0.0,accuracy
96,0.0,accuracy
97,1.0,accuracy
98,0.0,accuracy
99,1.0,accuracy
100,0.0,accuracy
101,0.0,accuracy
102,0.0,accuracy
103,0.0,accuracy
104,1.0,accuracy
105,0.0,accuracy
106,0.0,accuracy
107,1.0,accuracy
108,0.0,accuracy
109,0.0,accuracy
110,0.0,accuracy
111,0.0,accuracy
112,1.0,accuracy
113,0.0,accuracy
114,1.0,accuracy
115,1.0,accuracy
116,0.0,accuracy
117,0.0,accuracy
118,0.0,accuracy
119,0.0,accuracy
120,1.0,accuracy
121,0.0,accuracy
122,0.0,accuracy
123,0.0,accuracy
124,1.0,accuracy
125,1.0,accuracy
126,0.0,accuracy
127,1.0,accuracy
128,0.0,accuracy
129,1.0,accuracy
130,0.0,accuracy
131,0.0,accuracy
132,0.0,accuracy
133,1.0,accuracy
134,1.0,accuracy
135,0.0,accuracy
136,0.0,accuracy
137,0.0,accuracy
138,0.0,accuracy
139,1.0,accuracy
140,1.0,accuracy
141,0.0,accuracy
142,0.0,accuracy
143,0.0,accuracy
144,0.0,accuracy
145,1.0,accuracy
146,1.0,accuracy
147,0.0,accuracy
148,0.0,accuracy
149,0.0,accuracy
150,1.0,accuracy
151,0.0,accuracy
152,0.0,accuracy
153,1.0,accuracy
154,0.0,accuracy
155,1.0,accuracy
156,0.0,accuracy
157,1.0,accuracy
158,1.0,accuracy
159,0.0,accuracy
160,0.0,accuracy
161,0.0,accuracy
162,0.0,accuracy
163,1.0,accuracy
164,0.0,accuracy
165,0.0,accuracy
166,1.0,accuracy
167,0.0,accuracy
168,1.0,accuracy
169,1.0,accuracy
170,0.0,accuracy
171,1.0,accuracy
172,0.0,accuracy
173,0.0,accuracy
174,0.0,accuracy
175,0.0,accuracy
176,1.0,accuracy
177,0.0,accuracy
178,0.0,accuracy
179,1.0,accuracy
180,0.0,accuracy
181,1.0,accuracy
182,0.0,accuracy
183,0.0,accuracy
184,0.0,accuracy
185,1.0,accuracy
186,0.0,accuracy
187,1.0,accuracy
188,0.0,accuracy
189,0.0,accuracy
190,1.0,accuracy
191,0.0,accuracy
192,0.0,accuracy
193,1.0,accuracy
194,0.0,accuracy
195,1.0,accuracy
196,0.0,accuracy
197,1.0,accuracy
198,0.0,accuracy
199,0.0,accuracy
200,0.0,accuracy
201,0.0,accuracy
202,0.0,accuracy
203,0.0,accuracy
204,0.0,accuracy
205,1.0,accuracy
206,0.0,accuracy
207,1.0,accuracy
208,0.0,accuracy
209,0.0,accuracy
210,0.0,accuracy
211,0.0,accuracy
212,1.0,accuracy
213,0.0,accuracy
214,0.0,accuracy
215,0.0,accuracy
216,0.0,accuracy
217,0.0,accuracy
218,0.0,accuracy
219,1.0,accuracy
220,0.0,accuracy
221,1.0,accuracy
222,1.0,accuracy
223,0.0,accuracy
224,0.0,accuracy
225,0.0,accuracy
226,0.0,accuracy
227,0.0,accuracy
228,0.0,accuracy
229,0.0,accuracy
230,0.0,accuracy
231,1.0,accuracy
232,0.0,accuracy
233,0.0,accuracy
234,0.0,accuracy
235,0.0,accuracy
236,0.0,accuracy
237,0.0,accuracy
238,0.0,accuracy
239,0.0,accuracy
240,0.0,accuracy
241,0.0,accuracy
242,0.0,accuracy
243,0.0,accuracy
244,0.0,accuracy
245,0.0,accuracy
246,0.0,accuracy
247,0.0,accuracy
248,0.0,accuracy
249,0.0,accuracy
250,0.0,accuracy
251,0.0,accuracy
252,1.0,accuracy
253,0.0,accuracy
254,1.0,accuracy
255,1.0,accuracy
256,1.0,accuracy
257,0.0,accuracy
258,1.0,accuracy
259,0.0,accuracy
260,1.0,accuracy
261,0.0,accuracy
262,1.0,accuracy
263,0.0,accuracy
264,1.0,accuracy
265,0.0,accuracy
266,1.0,accuracy
267,0.0,accuracy
268,1.0,accuracy
269,0.0,accuracy
270,0.0,accuracy
271,1.0,accuracy
