id,score,metric_name
repobench_0,0.68,edit_similarity
repobench_1,0.67,edit_similarity
repobench_2,0.92,edit_similarity
repobench_3,0.95,edit_similarity
repobench_4,0.87,edit_similarity
repobench_5,0.14,edit_similarity
repobench_6,0.93,edit_similarity
repobench_7,0.99,edit_similarity
repobench_8,0.76,edit_similarity
repobench_9,0.53,edit_similarity
repobench_10,0.85,edit_similarity
repobench_11,1.0,edit_similarity
repobench_12,0.67,edit_similarity
repobench_13,0.69,edit_similarity
repobench_14,0.61,edit_similarity
repobench_15,0.72,edit_similarity
repobench_16,0.7,edit_similarity
repobench_17,0.87,edit_similarity
repobench_18,0.5,edit_similarity
repobench_19,0.94,edit_similarity
repobench_20,0.87,edit_similarity
repobench_21,0.5,edit_similarity
repobench_22,0.3,edit_similarity
repobench_23,0.76,edit_similarity
repobench_24,0.1,edit_similarity
repobench_25,0.34,edit_similarity
repobench_26,0.8,edit_similarity
repobench_27,0.92,edit_similarity
repobench_28,0.19,edit_similarity
repobench_29,0.83,edit_similarity
repobench_30,0.48,edit_similarity
repobench_31,0.89,edit_similarity
repobench_32,0.7,edit_similarity
repobench_33,0.24,edit_similarity
repobench_34,0.9,edit_similarity
repobench_35,0.41,edit_similarity
repobench_36,0.98,edit_similarity
repobench_37,0.64,edit_similarity
repobench_38,0.79,edit_similarity
repobench_39,0.23,edit_similarity
repobench_40,0.51,edit_similarity
repobench_41,0.55,edit_similarity
repobench_42,0.82,edit_similarity
repobench_43,1.0,edit_similarity
repobench_44,0.96,edit_similarity
repobench_45,0.47,edit_similarity
repobench_46,0.34,edit_similarity
repobench_47,0.94,edit_similarity
repobench_48,0.3,edit_similarity
repobench_49,0.84,edit_similarity
repobench_50,0.91,edit_similarity
