id,score,metric_name
repobench_0,0.23,edit_similarity
repobench_1,0.67,edit_similarity
repobench_2,1.0,edit_similarity
repobench_3,1.0,edit_similarity
repobench_4,0.87,edit_similarity
repobench_5,0.63,edit_similarity
repobench_6,0.93,edit_similarity
repobench_7,0.81,edit_similarity
repobench_8,0.76,edit_similarity
repobench_9,0.66,edit_similarity
repobench_10,0.93,edit_similarity
repobench_11,0.3,edit_similarity
repobench_12,0.29,edit_similarity
repobench_13,0.76,edit_similarity
repobench_14,0.58,edit_similarity
repobench_15,0.33,edit_similarity
repobench_16,0.7,edit_similarity
repobench_17,0.87,edit_similarity
repobench_18,0.8,edit_similarity
repobench_19,0.94,edit_similarity
repobench_20,0.87,edit_similarity
repobench_21,0.5,edit_similarity
repobench_22,0.36,edit_similarity
repobench_23,0.19,edit_similarity
repobench_24,0.2,edit_similarity
repobench_25,1.0,edit_similarity
repobench_26,0.8,edit_similarity
repobench_27,0.92,edit_similarity
repobench_28,0.78,edit_similarity
repobench_29,0.62,edit_similarity
repobench_30,0.72,edit_similarity
repobench_31,0.51,edit_similarity
repobench_32,1.0,edit_similarity
repobench_33,0.49,edit_similarity
repobench_34,1.0,edit_similarity
repobench_35,0.37,edit_similarity
repobench_36,0.84,edit_similarity
repobench_37,0.64,edit_similarity
repobench_38,1.0,edit_similarity
repobench_39,0.18,edit_similarity
repobench_40,0.57,edit_similarity
repobench_41,0.49,edit_similarity
repobench_42,0.98,edit_similarity
repobench_43,1.0,edit_similarity
repobench_44,0.4,edit_similarity
repobench_45,0.96,edit_similarity
repobench_46,0.26,edit_similarity
repobench_47,0.15,edit_similarity
repobench_48,0.29,edit_similarity
repobench_49,0.84,edit_similarity
repobench_50,1.0,edit_similarity
repobench_51,1.0,edit_similarity
repobench_52,0.87,edit_similarity
repobench_53,0.23,edit_similarity
repobench_54,0.82,edit_similarity
repobench_55,0.83,edit_similarity
repobench_56,0.31,edit_similarity
repobench_57,0.98,edit_similarity
repobench_58,0.81,edit_similarity
repobench_59,0.37,edit_similarity
repobench_60,0.94,edit_similarity
repobench_61,0.24,edit_similarity
repobench_62,1.0,edit_similarity
repobench_63,0.67,edit_similarity
repobench_64,1.0,edit_similarity
repobench_65,1.0,edit_similarity
repobench_66,0.32,edit_similarity
repobench_67,1.0,edit_similarity
repobench_68,0.95,edit_similarity
repobench_69,0.29,edit_similarity
repobench_70,1.0,edit_similarity
repobench_71,0.35,edit_similarity
repobench_72,0.79,edit_similarity
repobench_73,0.19,edit_similarity
repobench_74,1.0,edit_similarity
repobench_75,0.99,edit_similarity
repobench_76,0.24,edit_similarity
repobench_77,0.74,edit_similarity
repobench_78,0.14,edit_similarity
repobench_79,0.2,edit_similarity
repobench_80,0.14,edit_similarity
repobench_81,0.99,edit_similarity
repobench_82,0.92,edit_similarity
repobench_83,1.0,edit_similarity
repobench_84,1.0,edit_similarity
repobench_85,0.71,edit_similarity
repobench_86,0.49,edit_similarity
repobench_87,0.39,edit_similarity
repobench_88,0.19,edit_similarity
repobench_89,0.92,edit_similarity
repobench_90,0.66,edit_similarity
repobench_91,0.22,edit_similarity
repobench_92,1.0,edit_similarity
repobench_93,0.91,edit_similarity
repobench_94,0.7,edit_similarity
repobench_95,0.12,edit_similarity
repobench_96,0.19,edit_similarity
repobench_97,0.66,edit_similarity
repobench_98,0.85,edit_similarity
