id,score,metric_name
repobench_0,0.25,codebleu
repobench_1,0.39248568872410616,codebleu
repobench_2,0.1159054841616875,codebleu
repobench_3,0.6419286129883564,codebleu
repobench_4,0.3192548444085246,codebleu
repobench_5,0.25,codebleu
repobench_6,0.25,codebleu
repobench_7,0.25,codebleu
repobench_8,0.25,codebleu
repobench_9,0.25,codebleu
repobench_10,0.2593062266896089,codebleu
repobench_11,0.3671138974055986,codebleu
repobench_12,0.352268597250303,codebleu
repobench_13,0.2890091456582593,codebleu
repobench_14,0.28241041636275893,codebleu
repobench_15,0.28125,codebleu
repobench_16,0.21175237714028294,codebleu
repobench_17,0.25,codebleu
repobench_18,0.25,codebleu
repobench_19,0.25,codebleu
repobench_20,0.4644827648921901,codebleu
repobench_21,0.30924659700727986,codebleu
repobench_22,0.36293884852539704,codebleu
repobench_23,0.2717735594735855,codebleu
repobench_24,0.25,codebleu
repobench_25,0.33664215614864385,codebleu
repobench_26,0.25,codebleu
repobench_27,0.25,codebleu
repobench_28,0.25,codebleu
repobench_29,0.45272344339330384,codebleu
repobench_30,0.25,codebleu
repobench_31,0.25,codebleu
repobench_32,0.25,codebleu
repobench_33,0.7643161313935813,codebleu
repobench_34,0.1962721818587304,codebleu
repobench_35,0.25,codebleu
repobench_36,0.25,codebleu
repobench_37,0.36293884852539704,codebleu
repobench_38,0.388769216793579,codebleu
repobench_39,0.3549691301228103,codebleu
repobench_40,0.3081356620367555,codebleu
repobench_41,0.2542969958713107,codebleu
repobench_42,0.25,codebleu
repobench_43,0.3125,codebleu
repobench_44,0.36383643062074233,codebleu
repobench_45,0.25,codebleu
repobench_46,0.28228269410455376,codebleu
repobench_47,0.3332136612380235,codebleu
repobench_48,0.3332136612380235,codebleu
repobench_49,0.25,codebleu
repobench_50,0.25,codebleu
repobench_51,0.25,codebleu
repobench_52,0.25,codebleu
repobench_53,0.32985982565170857,codebleu
repobench_54,0.36293884852539704,codebleu
repobench_55,0.2640977159645266,codebleu
repobench_56,0.25,codebleu
repobench_57,0.25,codebleu
repobench_58,0.25,codebleu
repobench_59,0.25,codebleu
repobench_60,0.5,codebleu
repobench_61,0.25,codebleu
repobench_62,0.25,codebleu
repobench_63,0.25,codebleu
repobench_64,0.25,codebleu
repobench_65,0.0698810115958676,codebleu
repobench_66,0.36293884852539704,codebleu
repobench_67,0.4222475934860109,codebleu
repobench_68,0.25,codebleu
repobench_69,0.25,codebleu
repobench_70,0.25,codebleu
repobench_71,0.25,codebleu
repobench_72,0.25,codebleu
repobench_73,0.1754388485253971,codebleu
repobench_74,0.07801598599081379,codebleu
repobench_75,0.25,codebleu
repobench_76,0.25,codebleu
repobench_77,0.25,codebleu
repobench_78,0.3366941149612705,codebleu
repobench_79,0.14571366123802348,codebleu
repobench_80,0.5553941064735807,codebleu
repobench_81,0.2974223270798413,codebleu
repobench_82,0.25,codebleu
repobench_83,0.4462721818587304,codebleu
repobench_84,0.2717735594735855,codebleu
repobench_85,0.2652135847200724,codebleu
repobench_86,0.3867388174950208,codebleu
repobench_87,0.25,codebleu
repobench_88,0.25,codebleu
repobench_89,0.25,codebleu
repobench_90,0.07939640925535338,codebleu
repobench_91,0.7643161313935813,codebleu
repobench_92,0.25,codebleu
repobench_93,0.25,codebleu
repobench_94,0.1159054841616875,codebleu
repobench_95,0.3656237083256545,codebleu
repobench_96,0.27415915451410816,codebleu
repobench_97,0.03866481028191157,codebleu
repobench_98,0.25,codebleu
repobench_99,0.04166666666666666,codebleu
repobench_100,0.25,codebleu
repobench_101,0.25,codebleu
repobench_102,0.12007215082835415,codebleu
repobench_103,1.0,codebleu
repobench_104,0.25,codebleu
repobench_105,0.35081902205743953,codebleu
repobench_106,0.33333333333333326,codebleu
repobench_107,0.25,codebleu
repobench_108,0.1962721818587304,codebleu
repobench_109,0.064515456874401,codebleu
repobench_110,0.25,codebleu
repobench_111,0.25,codebleu
repobench_112,0.2890091456582593,codebleu
repobench_113,0.25,codebleu
repobench_114,0.25,codebleu
repobench_115,0.3192548444085246,codebleu
repobench_116,0.25,codebleu
repobench_117,0.25,codebleu
repobench_118,0.25,codebleu
repobench_119,0.25,codebleu
repobench_120,0.25,codebleu
repobench_121,0.5267572517563746,codebleu
repobench_122,0.25,codebleu
repobench_123,0.25,codebleu
repobench_124,0.26851667773011917,codebleu
repobench_125,0.25,codebleu
repobench_126,0.25,codebleu
repobench_127,0.04565600090120243,codebleu
repobench_128,0.7643161313935813,codebleu
repobench_129,0.25,codebleu
repobench_130,0.0637302717050995,codebleu
repobench_131,0.25,codebleu
repobench_132,0.25,codebleu
repobench_133,0.3577485939910913,codebleu
repobench_134,0.5671138974055986,codebleu
repobench_135,0.25,codebleu
repobench_136,0.2652135847200724,codebleu
repobench_137,0.3153552859273927,codebleu
repobench_138,0.16293884852539708,codebleu
repobench_139,0.31066813017461786,codebleu
repobench_140,0.32985982565170857,codebleu
repobench_141,0.5553941064735807,codebleu
repobench_142,0.2409054841616875,codebleu
repobench_143,0.32985982565170857,codebleu
repobench_144,0.06232266756786909,codebleu
repobench_145,0.28125,codebleu
repobench_146,0.2777777777777778,codebleu
repobench_147,0.25,codebleu
repobench_148,0.25,codebleu
repobench_149,0.35081902205743953,codebleu
repobench_150,0.34854691805340576,codebleu
repobench_151,0.25,codebleu
