id,score,metric_name
repobench_0,0.54,edit_similarity
repobench_1,0.9,edit_similarity
repobench_2,0.17,edit_similarity
repobench_3,0.84,edit_similarity
repobench_4,0.95,edit_similarity
repobench_5,0.75,edit_similarity
repobench_6,0.8,edit_similarity
repobench_7,0.9,edit_similarity
repobench_8,0.76,edit_similarity
repobench_9,1.0,edit_similarity
repobench_10,0.36,edit_similarity
repobench_11,1.0,edit_similarity
repobench_12,0.74,edit_similarity
repobench_13,1.0,edit_similarity
repobench_14,0.27,edit_similarity
repobench_15,0.21,edit_similarity
repobench_16,0.81,edit_similarity
repobench_17,0.84,edit_similarity
repobench_18,0.18,edit_similarity
repobench_19,1.0,edit_similarity
repobench_20,0.6,edit_similarity
repobench_21,0.54,edit_similarity
repobench_22,1.0,edit_similarity
repobench_23,0.22,edit_similarity
repobench_24,0.62,edit_similarity
repobench_25,0.2,edit_similarity
repobench_26,0.85,edit_similarity
repobench_27,0.32,edit_similarity
repobench_28,0.36,edit_similarity
repobench_29,0.89,edit_similarity
repobench_30,0.48,edit_similarity
repobench_31,0.76,edit_similarity
repobench_32,1.0,edit_similarity
repobench_33,0.35,edit_similarity
repobench_34,0.23,edit_similarity
repobench_35,0.81,edit_similarity
repobench_36,0.3,edit_similarity
repobench_37,1.0,edit_similarity
repobench_38,0.53,edit_similarity
repobench_39,0.9,edit_similarity
repobench_40,0.32,edit_similarity
repobench_41,0.31,edit_similarity
repobench_42,0.44,edit_similarity
repobench_43,0.88,edit_similarity
repobench_44,0.27,edit_similarity
repobench_45,0.75,edit_similarity
repobench_46,0.97,edit_similarity
repobench_47,0.54,edit_similarity
repobench_48,0.65,edit_similarity
repobench_49,0.94,edit_similarity
repobench_50,0.27,edit_similarity
repobench_51,0.43,edit_similarity
repobench_52,0.19,edit_similarity
repobench_53,0.55,edit_similarity
repobench_54,0.33,edit_similarity
repobench_55,0.43,edit_similarity
repobench_56,0.87,edit_similarity
repobench_57,1.0,edit_similarity
repobench_58,0.97,edit_similarity
repobench_59,0.35,edit_similarity
repobench_60,0.31,edit_similarity
repobench_61,0.85,edit_similarity
repobench_62,0.45,edit_similarity
repobench_63,0.86,edit_similarity
repobench_64,0.81,edit_similarity
repobench_65,1.0,edit_similarity
repobench_66,1.0,edit_similarity
repobench_67,0.85,edit_similarity
repobench_68,1.0,edit_similarity
repobench_69,0.9,edit_similarity
repobench_70,0.99,edit_similarity
repobench_71,0.62,edit_similarity
repobench_72,0.52,edit_similarity
repobench_73,0.14,edit_similarity
repobench_74,0.38,edit_similarity
repobench_75,0.21,edit_similarity
