id,score,metric_name
1.0,resolved,django__django-11433
0.0,resolved,astropy__astropy-7606
0.0,resolved,astropy__astropy-8872
0.0,resolved,django__django-10999
0.0,resolved,django__django-11087
1.0,resolved,django__django-11099
1.0,resolved,django__django-11133
0.0,resolved,django__django-11141
1.0,resolved,django__django-11163
1.0,resolved,django__django-11206
0.0,resolved,django__django-11265
1.0,resolved,django__django-11292
1.0,resolved,django__django-11333
1.0,resolved,django__django-11451
1.0,resolved,django__django-11490
1.0,resolved,django__django-11551
1.0,resolved,django__django-11603
1.0,resolved,django__django-11740
0.0,resolved,django__django-11790
0.0,resolved,django__django-11820
0.0,resolved,astropy__astropy-13236
1.0,resolved,astropy__astropy-13579
0.0,resolved,astropy__astropy-14369
1.0,resolved,astropy__astropy-14995
1.0,resolved,astropy__astropy-7336
1.0,resolved,django__django-10914
1.0,resolved,django__django-11211
0.0,resolved,django__django-11734
1.0,resolved,django__django-12039
1.0,resolved,django__django-14752
1.0,resolved,django__django-14855
1.0,resolved,django__django-15315
1.0,resolved,django__django-15467
1.0,resolved,sympy__sympy-12481
1.0,resolved,sympy__sympy-21379
1.0,resolved,astropy__astropy-12907
0.0,resolved,astropy__astropy-13398
1.0,resolved,astropy__astropy-14096
1.0,resolved,astropy__astropy-14365
0.0,resolved,astropy__astropy-14598
1.0,resolved,django__django-10097
1.0,resolved,django__django-12713
1.0,resolved,django__django-13089
0.0,resolved,django__django-13406
0.0,resolved,django__django-14034
0.0,resolved,django__django-16256
1.0,resolved,django__django-16569
1.0,resolved,astropy__astropy-13453
1.0,resolved,astropy__astropy-14309
1.0,resolved,astropy__astropy-14508
1.0,resolved,astropy__astropy-7166
1.0,resolved,django__django-10880
1.0,resolved,django__django-10973
0.0,resolved,astropy__astropy-13033
0.0,resolved,astropy__astropy-13977
0.0,resolved,astropy__astropy-14182
1.0,resolved,astropy__astropy-14539
0.0,resolved,astropy__astropy-8707
1.0,resolved,django__django-12262
0.0,resolved,django__django-13344
1.0,resolved,django__django-13741
1.0,resolved,django__django-15731
1.0,resolved,django__django-16454
1.0,resolved,django__django-16661
1.0,resolved,django__django-16899
1.0,resolved,astropy__astropy-7671
0.0,resolved,django__django-10554
1.0,resolved,django__django-11066
1.0,resolved,django__django-11095
1.0,resolved,django__django-11119
0.0,resolved,django__django-11138
0.0,resolved,django__django-11149
1.0,resolved,django__django-11179
1.0,resolved,django__django-11239
1.0,resolved,django__django-11276
1.0,resolved,django__django-11299
0.0,resolved,django__django-11400
0.0,resolved,django__django-11477
1.0,resolved,django__django-11532
1.0,resolved,django__django-11555
1.0,resolved,django__django-11728
1.0,resolved,django__django-11749
1.0,resolved,django__django-11815
0.0,resolved,django__django-11848
1.0,resolved,django__django-11885
1.0,resolved,django__django-11964
1.0,resolved,django__django-12050
0.0,resolved,django__django-12143
0.0,resolved,django__django-12193
0.0,resolved,django__django-12273
1.0,resolved,django__django-12304
0.0,resolved,django__django-12325
1.0,resolved,django__django-12419
1.0,resolved,django__django-12708
1.0,resolved,django__django-12754
0.0,resolved,django__django-12858
1.0,resolved,django__django-13012
1.0,resolved,django__django-13028
1.0,resolved,django__django-13109
1.0,resolved,django__django-13121
1.0,resolved,django__django-13158
0.0,resolved,django__django-13212
1.0,resolved,django__django-13297
1.0,resolved,django__django-13343
1.0,resolved,django__django-13363
1.0,resolved,django__django-11880
1.0,resolved,django__django-14238
1.0,resolved,django__django-14500
1.0,resolved,django__django-15104
1.0,resolved,django__django-15368
0.0,resolved,sphinx-doc__sphinx-7748
0.0,resolved,sympy__sympy-18199
1.0,resolved,django__django-11951
1.0,resolved,django__django-11999
1.0,resolved,django__django-12125
1.0,resolved,django__django-12155
1.0,resolved,django__django-12209
1.0,resolved,django__django-12276
0.0,resolved,django__django-12308
0.0,resolved,django__django-12406
0.0,resolved,django__django-12663
1.0,resolved,django__django-12741
1.0,resolved,django__django-12774
1.0,resolved,django__django-12965
1.0,resolved,django__django-13023
1.0,resolved,django__django-13033
1.0,resolved,django__django-13112
1.0,resolved,django__django-13128
0.0,resolved,django__django-13195
1.0,resolved,django__django-13279
1.0,resolved,django__django-13315
1.0,resolved,django__django-13346
0.0,resolved,django__django-13401
1.0,resolved,django__django-13410
1.0,resolved,django__django-13449
0.0,resolved,django__django-13513
1.0,resolved,django__django-13551
1.0,resolved,django__django-13569
1.0,resolved,django__django-13658
0.0,resolved,django__django-13786
1.0,resolved,django__django-13807
1.0,resolved,django__django-13810
1.0,resolved,django__django-13821
1.0,resolved,django__django-13925
1.0,resolved,django__django-13964
0.0,resolved,django__django-14011
1.0,resolved,django__django-14053
1.0,resolved,django__django-14122
0.0,resolved,django__django-14155
1.0,resolved,django__django-14311
1.0,resolved,django__django-14349
1.0,resolved,django__django-14373
0.0,resolved,django__django-14404
0.0,resolved,django__django-14493
1.0,resolved,django__django-14539
1.0,resolved,django__django-14580
1.0,resolved,django__django-14631
0.0,resolved,django__django-14725
0.0,resolved,django__django-14771
0.0,resolved,django__django-14792
1.0,resolved,django__django-14999
0.0,resolved,django__django-15037
1.0,resolved,django__django-15103
0.0,resolved,django__django-15127
0.0,resolved,django__django-15252
1.0,resolved,django__django-15277
1.0,resolved,django__django-13417
0.0,resolved,django__django-13512
1.0,resolved,django__django-13516
1.0,resolved,django__django-13568
1.0,resolved,django__django-13590
1.0,resolved,django__django-13670
0.0,resolved,django__django-13794
1.0,resolved,django__django-13809
1.0,resolved,django__django-13820
1.0,resolved,django__django-13837
1.0,resolved,django__django-13933
1.0,resolved,django__django-14007
1.0,resolved,django__django-14017
1.0,resolved,django__django-14089
1.0,resolved,django__django-14140
0.0,resolved,django__django-14170
0.0,resolved,django__django-14315
1.0,resolved,django__django-14351
0.0,resolved,django__django-14376
1.0,resolved,django__django-14434
1.0,resolved,django__django-14534
1.0,resolved,django__django-14559
0.0,resolved,django__django-14608
1.0,resolved,django__django-14672
1.0,resolved,django__django-14765
1.0,resolved,django__django-14787
1.0,resolved,django__django-14915
0.0,resolved,django__django-15022
0.0,resolved,django__django-15098
1.0,resolved,django__django-15128
1.0,resolved,django__django-15161
1.0,resolved,django__django-15268
1.0,resolved,django__django-15278
1.0,resolved,django__django-15280
1.0,resolved,django__django-15380
1.0,resolved,django__django-15499
1.0,resolved,django__django-15525
1.0,resolved,django__django-15561
1.0,resolved,django__django-15569
0.0,resolved,django__django-15629
1.0,resolved,django__django-15732
1.0,resolved,django__django-15814
1.0,resolved,django__django-15863
1.0,resolved,django__django-15930
1.0,resolved,django__django-15987
1.0,resolved,django__django-16082
1.0,resolved,django__django-16116
0.0,resolved,django__django-16139
1.0,resolved,django__django-16255
1.0,resolved,django__django-16315
1.0,resolved,django__django-16429
1.0,resolved,django__django-16485
0.0,resolved,django__django-16502
1.0,resolved,django__django-16560
1.0,resolved,django__django-16612
1.0,resolved,django__django-16642
1.0,resolved,django__django-16662
1.0,resolved,django__django-16801
1.0,resolved,django__django-16877
1.0,resolved,django__django-16901
1.0,resolved,django__django-17029
1.0,resolved,django__django-17087
1.0,resolved,django__django-9296
1.0,resolved,matplotlib__matplotlib-14623
0.0,resolved,matplotlib__matplotlib-20676
0.0,resolved,matplotlib__matplotlib-20859
1.0,resolved,matplotlib__matplotlib-22719
1.0,resolved,matplotlib__matplotlib-22871
1.0,resolved,matplotlib__matplotlib-23314
0.0,resolved,matplotlib__matplotlib-23476
1.0,resolved,matplotlib__matplotlib-24177
1.0,resolved,matplotlib__matplotlib-24627
1.0,resolved,django__django-15375
1.0,resolved,django__django-15382
1.0,resolved,django__django-15503
1.0,resolved,django__django-15554
0.0,resolved,django__django-15563
1.0,resolved,django__django-15572
0.0,resolved,django__django-15695
1.0,resolved,django__django-15741
1.0,resolved,django__django-15851
1.0,resolved,django__django-15916
0.0,resolved,django__django-15957
0.0,resolved,django__django-15973
1.0,resolved,django__django-16032
1.0,resolved,django__django-16100
1.0,resolved,django__django-16136
1.0,resolved,django__django-16145
0.0,resolved,django__django-16263
1.0,resolved,django__django-16333
1.0,resolved,django__django-16493
1.0,resolved,django__django-16527
1.0,resolved,django__django-16595
0.0,resolved,django__django-16631
0.0,resolved,django__django-16667
1.0,resolved,django__django-16819
0.0,resolved,django__django-16950
1.0,resolved,django__django-17084
1.0,resolved,django__django-7530
1.0,resolved,matplotlib__matplotlib-13989
1.0,resolved,matplotlib__matplotlib-20488
0.0,resolved,matplotlib__matplotlib-20826
0.0,resolved,matplotlib__matplotlib-21568
1.0,resolved,django__django-16938
1.0,resolved,matplotlib__matplotlib-24026
1.0,resolved,pallets__flask-5014
1.0,resolved,matplotlib__matplotlib-25960
0.0,resolved,sphinx-doc__sphinx-8638
1.0,resolved,matplotlib__matplotlib-22865
0.0,resolved,matplotlib__matplotlib-23299
1.0,resolved,matplotlib__matplotlib-23412
1.0,resolved,matplotlib__matplotlib-24149
1.0,resolved,matplotlib__matplotlib-24570
1.0,resolved,matplotlib__matplotlib-24637
1.0,resolved,matplotlib__matplotlib-24970
1.0,resolved,matplotlib__matplotlib-25287
1.0,resolved,matplotlib__matplotlib-25332
1.0,resolved,matplotlib__matplotlib-25775
0.0,resolved,matplotlib__matplotlib-26208
1.0,resolved,matplotlib__matplotlib-26342
0.0,resolved,mwaskom__seaborn-3069
1.0,resolved,psf__requests-1142
0.0,resolved,psf__requests-1766
0.0,resolved,psf__requests-2317
1.0,resolved,psf__requests-5414
1.0,resolved,pydata__xarray-3151
1.0,resolved,pydata__xarray-3677
1.0,resolved,pydata__xarray-4075
1.0,resolved,pydata__xarray-4356
0.0,resolved,pydata__xarray-4687
1.0,resolved,pydata__xarray-4966
1.0,resolved,pydata__xarray-6599
